OTUId	BIO3-1	ori3	BIO3-16	BIO1-16	BIO3-24	ori2	BIO1-24	ori1	BIO2-16	BIO3-8	BIO2-1	BIO2-24	BIO1-1	BIO1-8	BIO2-8
OTU_1391	76	161	3	2	8	139	6	87	3	2	49	3	63	1	2
OTU_90	216	874	13	16	7	826	5	806	10	31	235	7	204	16	22
OTU_293	62	33	25	23	11	16	10	26	14	57	52	10	65	62	86
OTU_112	142	672	11	18	14	745	15	837	31	37	178	7	136	23	24
OTU_163	23	46	281	157	248	40	193	28	245	3	20	126	22	17	3
OTU_223	180	270	16	16	12	294	13	192	12	14	137	11	101	12	19
OTU_98	205	783	2	5	1	780	4	835	12	3	259	3	177	7	6
OTU_141	871	3658	62	69	79	2940	40	2063	101	59	727	49	773	45	67
OTU_3065	49	46	14	4	5	57	10	34	6	7	34	3	37	7	7
OTU_69	238	1356	96	102	58	1079	50	814	113	76	201	41	188	73	86
OTU_263	44	305	5	4	2	269	1	287	16	8	66	2	73	4	17
OTU_68	261	1103	35	35	42	1089	34	1041	41	47	323	22	350	63	81
OTU_540	13	31	5	6	5	15	5	24	3	11	14	2	15	3	5
OTU_152	151	431	173	110	135	312	109	253	216	39	124	81	130	32	51
OTU_604	7	36	14	8	22	40	25	26	26	0	12	17	7	0	0
OTU_117	65	571	7	8	5	662	4	573	13	9	68	6	88	4	12
OTU_81	44	61	105	73	52	51	33	38	84	908	38	26	30	1605	1860
OTU_2678	47	184	3	1	5	129	1	98	1	1	38	1	32	1	6
OTU_155	50	436	7	12	3	475	4	309	6	11	82	6	85	11	10
OTU_586	2	42	0	0	0	29	0	34	0	0	11	0	6	2	0
OTU_785	64	148	28	23	30	84	17	80	26	16	51	21	38	10	19
OTU_410	20	117	2	1	1	132	4	70	6	0	24	1	10	5	3
OTU_210	306	197	27	24	53	209	14	98	21	11	266	23	268	11	10
OTU_104	479	1516	58	45	52	1338	60	1117	79	42	371	38	411	33	58
OTU_92	121	722	12	21	24	667	7	688	17	21	129	9	195	18	30
OTU_301	66	132	42	29	32	123	41	89	40	44	83	28	65	30	52
OTU_97	174	323	121	143	149	254	155	182	146	113	182	105	158	101	121
OTU_218	30	283	5	1	5	254	2	223	1	1	22	5	12	1	2
OTU_106	161	507	3	4	2	491	5	530	6	12	200	2	213	6	8
OTU_136	92	447	5	2	1	550	4	325	3	4	89	1	138	1	4
OTU_3786	0	8	0	0	0	4	0	3	1	1	1	0	1	1	0
OTU_543	193	188	172	251	214	214	258	119	111	27	152	152	195	48	61
OTU_3109	14	58	0	0	1	66	0	32	3	3	8	0	7	2	1
OTU_213	24	376	3	3	2	226	2	258	5	1	17	2	35	2	2
OTU_330	25	171	2	0	5	157	2	97	0	4	18	3	20	5	2
OTU_3797	14	15	18	228	7	13	15	5	81	6	10	30	16	624	752
OTU_3223	18	98	0	1	1	77	0	108	1	2	21	1	18	0	0
OTU_130	198	209	160	124	151	219	127	159	138	94	157	142	161	70	118
OTU_337	54	127	45	42	31	99	30	87	53	52	60	26	42	49	49
OTU_129	20	95	87	66	91	93	93	61	121	474	26	81	26	341	421
OTU_2912	381	110	267	310	232	113	200	66	106	180	345	151	443	381	429
OTU_208	51	287	8	2	2	239	2	231	9	9	58	3	59	6	11
OTU_2449	245	668	351	273	1157	666	1093	401	323	57	230	1061	214	65	81
OTU_1970	1	19	2	1	0	15	0	15	0	1	4	1	3	0	0
OTU_3339	29	133	4	0	3	91	1	62	2	0	30	1	28	4	2
OTU_138	60	449	13	11	17	548	8	263	15	16	55	12	51	16	26
OTU_464	16	113	11	6	4	95	4	76	11	7	14	2	16	5	6
OTU_2705	14	20	136	118	208	19	346	11	146	5	9	239	2	8	6
OTU_1914	648	1744	37	33	25	1540	30	1037	30	14	533	49	508	13	12
OTU_169	90	373	56	44	64	283	66	193	53	14	77	45	92	10	15
OTU_941	1	14	0	0	0	13	3	7	0	1	0	0	6	0	0
OTU_126	128	590	2	6	10	881	2	444	7	14	90	6	118	4	7
OTU_2843	40	156	15	12	28	94	8	94	9	3	49	12	68	3	2
OTU_3187	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU_3245	20	51	3	3	0	50	2	35	4	2	10	1	19	1	2
OTU_273	60	292	5	1	7	268	2	180	2	2	52	5	57	4	2
OTU_2845	194	887	65	40	37	765	16	645	58	39	157	22	153	37	51
OTU_3402	2	0	0	0	1	1	0	0	0	0	1	0	0	0	1
OTU_1103	1	11	0	0	0	15	0	8	0	0	2	0	1	0	0
OTU_55	276	659	187	423	1049	610	47	372	483	25	220	2691	245	15	17
OTU_660	11	23	2	0	0	29	1	25	0	0	9	1	9	2	5
OTU_286	26	231	1	2	0	177	0	79	1	1	23	2	20	0	4
OTU_191	53	378	5	5	4	379	2	420	11	1	81	2	65	5	11
OTU_256	56	226	6	0	3	205	3	143	8	5	59	4	46	5	2
OTU_175	61	508	2	1	5	506	5	596	4	7	120	1	87	5	2
OTU_161	59	336	4	6	2	414	4	348	4	7	91	2	61	7	11
OTU_76	275	903	23	24	28	922	17	566	25	13	339	21	310	15	12
OTU_632	74	297	1	1	1	317	2	386	1	6	114	0	74	0	2
OTU_1074	14	64	6	3	7	88	2	53	1	6	16	6	16	0	7
OTU_515	7	12	23	5	37	10	12	5	18	0	13	25	4	4	3
OTU_1892	3	72	66	107	130	75	91	48	98	3	6	43	11	4	2
OTU_754	1	33	1	0	0	18	1	18	0	0	3	0	4	0	0
OTU_79	336	1271	18	15	15	1313	20	869	16	10	271	16	210	11	14
OTU_200	148	638	2	9	5	647	5	748	6	4	225	0	168	4	8
OTU_83	94	855	12	12	4	951	14	748	23	10	98	15	112	17	13
OTU_72	226	936	11	16	27	1174	28	779	25	14	234	21	247	6	13
OTU_269	33	206	3	2	1	190	2	161	4	5	35	3	20	1	1
OTU_205	93	174	96	54	96	173	62	121	59	33	81	69	95	30	25
OTU_131	50	412	31	11	38	716	16	244	21	4	54	16	64	2	3
OTU_412	352	817	8	28	5	737	8	957	27	46	357	7	329	28	30
OTU_1340	93	33	99	89	30	33	43	18	115	176	150	29	79	175	243
OTU_227	144	59	125	111	97	58	77	42	123	112	128	89	105	95	122
OTU_709	4	31	2	1	2	31	0	21	3	0	10	1	6	0	3
OTU_3441	609	1259	26	29	25	1067	19	805	32	18	504	32	583	16	19
OTU_534	12	77	0	4	2	84	2	43	0	0	9	2	6	5	0
OTU_1710	6	6	0	0	0	2	1	3	2	0	2	1	2	0	0
OTU_74	148	1238	15	13	7	1217	7	711	21	11	134	3	95	15	21
OTU_36	44	86	69	78	3946	58	3437	58	93	22	36	1895	37	16	35
OTU_2471	2	2	0	1	0	1	0	0	0	1	0	0	1	0	0
OTU_550	6	9	46	8	50	3	40	7	24	2	4	24	6	8	10
OTU_2176	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0
OTU_2530	466	257	81	143	185	226	157	183	144	3	339	195	361	8	12
OTU_174	170	296	4	13	10	431	4	218	9	6	188	3	173	3	4
OTU_581	2	43	0	1	1	47	0	19	1	1	5	1	9	1	0
OTU_279	54	55	33	43	31	59	23	42	31	49	42	25	34	30	34
OTU_171	24	78	236	181	223	96	105	56	259	20	17	62	24	26	45
OTU_139	117	575	11	8	4	466	3	363	11	13	105	7	87	4	6
OTU_946	0	16	14	13	71	19	28	19	12	2	2	18	6	0	1
OTU_1183	26	244	5	3	4	238	3	155	5	11	18	2	31	4	3
OTU_2213	62	492	16	45	10	280	14	190	70	39	42	16	50	27	28
OTU_277	30	226	7	4	4	215	5	176	3	4	27	6	35	5	4
OTU_221	20	151	58	115	352	198	134	140	105	10	23	117	24	7	14
OTU_393	13	111	2	3	2	103	1	100	1	2	23	1	21	0	5
OTU_284	30	175	5	2	1	187	2	183	5	3	25	2	35	3	3
OTU_45	613	743	702	727	568	645	592	474	603	855	555	393	464	706	920
OTU_2856	89	4	91	108	73	1	68	1	103	74	67	49	77	68	82
OTU_492	16	19	16	12	18	16	9	18	7	11	20	8	16	5	12
OTU_196	24	306	0	2	0	283	1	221	3	1	47	1	28	4	2
OTU_2974	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_291	41	117	0	3	0	124	2	128	5	3	39	1	61	0	2
OTU_235	47	285	6	10	2	269	5	216	1	8	47	7	56	3	5
OTU_1750	53	107	20	10	7	120	15	58	19	10	43	7	58	2	3
OTU_470	9	60	0	0	1	47	0	56	0	1	13	0	17	0	1
OTU_127	3	0	6	2	55	3	11	0	5	593	8	4	2	446	857
OTU_1148	2	9	0	1	0	9	2	1	4	4	2	1	7	1	0
OTU_1813	38	64	8	2	54	52	18	34	3	5	20	11	21	0	1
OTU_1884	60	258	5	9	3	286	3	304	15	6	65	3	77	13	16
OTU_445	24	107	9	3	8	108	9	55	9	3	27	8	18	3	7
OTU_2001	0	0	0	0	0	1	2	1	1	1	2	0	1	1	1
OTU_300	39	89	52	41	38	86	30	57	35	39	54	25	46	29	38
OTU_903	16	23	17	7	9	13	10	16	7	10	6	4	10	6	9
OTU_673	15	66	1	2	0	98	0	54	0	0	9	0	10	0	2
OTU_96	131	749	16	9	11	758	11	500	15	20	122	7	122	11	20
OTU_122	146	599	10	7	7	550	8	404	27	25	144	3	143	19	17
OTU_3598	26	277	0	0	0	291	0	223	0	0	42	2	40	0	0
OTU_334	53	108	2	3	1	100	4	67	2	2	46	2	44	1	0
OTU_86	765	192	892	865	629	200	576	116	795	816	775	526	662	772	973
OTU_377	30	126	0	3	6	107	5	90	2	2	32	1	18	1	2
OTU_691	404	1067	61	34	222	1116	11	644	38	16	313	27	378	15	24
OTU_95	142	681	27	17	16	783	16	469	37	54	190	9	154	25	43
OTU_441	12	81	0	1	0	66	0	54	0	0	17	0	10	1	1
OTU_3411	27	41	18	15	10	26	8	31	12	8	18	8	18	13	14
OTU_146	35	645	10	4	12	1125	6	321	6	1	32	5	39	1	3
OTU_168	96	207	25	30	959	163	16	165	31	55	102	17	80	48	59
OTU_99	140	779	8	9	12	722	9	484	8	12	118	10	128	8	14
OTU_260	91	262	8	3	9	276	4	192	9	3	74	5	82	5	3
OTU_154	124	483	6	3	3	533	5	458	3	11	139	1	133	4	6
OTU_244	18	215	4	0	2	271	1	153	2	2	22	3	14	0	0
OTU_3675	6	21	0	2	7	19	0	2	1	0	0	8	2	2	2
OTU_348	29	102	2	1	1	94	3	58	2	0	19	1	19	2	1
OTU_147	19	23	392	543	239	36	3	6	465	6	20	680	18	5	13
OTU_1731	49	204	1	4	3	203	4	125	3	0	27	3	36	2	1
OTU_496	12	64	1	0	0	52	1	32	0	0	14	1	7	0	0
OTU_2572	29	19	65	45	119	8	90	9	42	26	31	94	30	24	29
OTU_145	296	1269	17	22	29	1210	19	738	25	13	256	23	259	14	13
OTU_134	93	611	28	30	18	572	27	386	32	36	73	11	76	26	34
OTU_2249	7	32	0	0	0	23	0	10	0	0	8	0	5	1	0
OTU_2011	127	171	4	2	3	189	3	142	2	1	94	5	119	1	1
OTU_229	15	279	0	1	0	445	1	277	4	1	64	0	36	0	0
OTU_258	12	125	1	1	0	215	0	171	0	0	45	0	33	1	0
OTU_1996	128	458	9	11	9	324	6	250	9	8	103	4	97	2	15
OTU_1041	37	38	735	721	299	35	645	21	916	202	23	282	25	149	193
OTU_71	180	1081	21	21	20	1117	19	711	34	31	165	11	145	49	41
OTU_775	102	11	131	105	78	10	69	8	132	113	83	70	79	82	126
OTU_1791	49	148	1	0	2	167	2	131	1	2	49	0	30	3	0
OTU_477	5	67	1	1	11	48	5	81	8	1	2	4	9	0	3
OTU_2668	405	1544	12	11	9	1562	6	1732	17	10	541	11	399	13	13
OTU_1124	60	332	6	6	3	373	2	306	11	3	69	2	70	4	9
OTU_222	4	35	3	1	359	27	144	30	3	3	6	355	5	1	0
OTU_123	183	533	15	16	22	465	15	320	17	13	154	55	172	11	12
OTU_406	68	14	43	57	45	10	38	7	48	69	48	38	43	54	50
OTU_262	65	156	12	1	11	144	4	78	7	7	54	4	79	8	16
OTU_3126	33	44	25	30	34	60	32	37	42	34	22	23	26	21	41
OTU_392	23	72	5	7	5	78	17	48	9	3	19	10	14	3	5
OTU_319	71	399	3	3	8	412	4	235	5	4	43	5	48	4	7
OTU_547	13	34	3	7	7	33	6	19	1	4	16	4	14	7	4
OTU_264	41	217	5	2	1	250	4	130	6	3	44	1	48	8	6
OTU_160	33	157	31	22	77	167	887	136	48	8	25	226	22	8	8
OTU_856	15	46	13	10	2	31	5	24	11	6	12	3	11	2	4
OTU_594	3	37	2	0	4	46	1	36	2	1	8	0	2	0	0
OTU_285	34	194	11	22	13	212	32	152	37	1	33	49	41	8	4
OTU_1943	42	278	0	1	0	226	0	313	1	2	95	2	42	2	1
OTU_481	8	64	4	4	1	60	1	50	1	3	13	0	7	2	1
OTU_60	301	1450	7	12	15	1220	11	913	11	19	377	8	287	10	12
OTU_88	207	915	10	16	15	795	5	888	25	23	196	13	195	22	43
OTU_1140	1	1	4	1	5	3	2	3	3	0	1	3	0	0	1
OTU_2836	3	21	1	0	0	19	0	19	0	0	6	0	4	0	0
OTU_1445	0	7	0	0	0	2	0	10	0	0	0	0	1	0	0
OTU_516	15	41	10	12	6	34	10	5	12	8	10	6	9	7	9
OTU_3243	1	18	0	0	0	21	0	14	2	0	1	1	5	0	1
OTU_1429	4	2	3	0	0	8	1	1	2	0	1	1	2	3	0
OTU_404	1	97	0	1	0	117	0	106	0	0	4	0	3	0	0
OTU_159	60	342	12	4	8	394	5	394	10	12	61	2	75	6	13
OTU_132	14	41	239	135	558	45	349	19	169	14	16	303	22	15	21
OTU_1798	1	3	0	0	1	12	0	8	0	0	4	0	0	2	0
OTU_2568	2	1	0	0	0	1	0	3	0	0	0	0	0	0	0
OTU_1111	0	6	0	0	0	7	0	10	0	0	0	1	0	0	0
OTU_688	3	50	1	0	1	38	0	37	1	3	10	0	4	1	1
OTU_915	3	26	2	1	1	11	0	25	4	1	3	2	1	1	0
OTU_1479	190	538	6	5	7	448	7	334	7	8	137	4	136	4	6
OTU_189	12	276	0	0	2	385	0	221	0	1	27	0	26	1	1
OTU_440	27	62	8	11	10	67	5	45	7	10	25	4	21	7	7
OTU_3238	53	236	5	1	2	180	2	208	2	6	56	1	65	2	3
OTU_215	98	390	5	6	4	383	5	247	8	6	88	5	87	2	4
OTU_157	66	458	4	5	5	458	9	312	2	10	64	4	90	4	5
OTU_224	57	285	3	7	4	309	2	182	4	4	38	3	53	3	2
OTU_914	38	328	10	8	6	171	6	119	16	5	31	7	22	2	6
OTU_296	21	140	19	5	18	118	45	72	14	3	18	13	25	4	7
OTU_245	103	38	85	128	92	33	81	20	95	93	110	75	101	105	126
OTU_1713	0	2	0	0	1	1	1	1	1	0	2	2	2	0	0
OTU_379	29	134	6	4	2	127	4	80	5	4	26	3	23	6	12
OTU_736	1	15	8	1	13	15	8	10	0	0	0	8	4	2	1
OTU_549	19	41	9	10	16	37	4	31	8	8	22	8	23	5	10
OTU_267	68	232	4	7	5	240	3	139	6	4	58	1	55	6	6
OTU_217	95	178	65	57	59	158	69	137	77	78	73	49	68	69	61
OTU_181	4	15	5	2	12	32	46	11	21	379	1	36	0	187	227
OTU_391	13	83	3	1	1	80	1	110	1	2	19	1	12	1	3
OTU_551	67	108	486	356	696	79	542	67	545	46	69	488	65	54	60
OTU_166	196	677	67	152	228	631	304	426	183	27	147	452	167	22	22
OTU_2741	161	1	171	162	135	3	93	2	185	157	155	100	115	130	183
OTU_384	6	48	43	51	181	50	63	31	47	3	10	46	9	2	5
OTU_486	25	20	16	17	22	33	12	23	14	15	15	3	100	12	13
OTU_89	357	785	27	24	15	710	18	438	29	34	245	18	250	27	27
OTU_811	25	105	96	84	111	62	56	64	129	6	21	75	20	3	4
OTU_711	3	56	1	0	0	41	0	26	0	2	11	0	4	0	0
OTU_1438	133	20	119	127	118	23	86	15	126	137	123	86	133	102	128
OTU_576	12	47	0	1	1	53	1	13	1	0	7	0	4	1	0
OTU_250	85	384	9	4	4	327	3	245	7	8	74	2	66	6	6
OTU_299	76	244	2	9	5	208	7	138	5	4	33	8	59	3	4
OTU_202	102	509	24	17	23	457	19	261	22	13	97	9	124	16	19
OTU_476	39	64	22	25	34	65	37	42	29	11	29	24	33	8	24
OTU_485	25	107	16	16	6	117	16	86	26	3	21	2	24	1	10
OTU_211	0	2	5	3	37	2	83	1	6	278	0	24	1	171	404
OTU_364	44	100	28	23	27	99	17	57	35	33	40	21	38	25	31
OTU_1118	9	40	2	2	4	22	3	21	1	2	12	1	11	2	1
OTU_2908	88	3	112	112	97	4	113	0	142	95	97	94	73	114	107
OTU_314	39	131	6	4	0	123	5	100	1	8	34	0	33	4	3
OTU_606	8	38	2	1	0	38	0	55	6	0	4	0	5	1	3
OTU_3745	13	52	1	0	2	25	0	18	1	0	11	0	13	0	3
OTU_587	12	35	7	4	10	36	8	13	9	12	9	6	16	6	9
OTU_190	112	464	7	15	5	460	5	332	9	11	123	4	179	7	14
OTU_137	97	504	9	8	8	405	10	302	14	6	92	5	85	8	8
OTU_2494	2	7	0	2	0	19	0	6	1	0	1	0	1	0	0
OTU_380	13	103	1	1	2	108	1	69	0	0	7	3	8	0	0
OTU_920	2	17	0	0	1	23	0	25	0	1	2	1	3	0	0
OTU_302	40	180	6	3	6	137	3	89	13	9	23	1	25	3	8
OTU_2383	68	18	69	106	151	24	137	18	73	53	53	147	46	38	48
OTU_194	50	367	3	2	0	294	4	149	2	7	44	3	45	6	6
OTU_894	2	25	1	0	0	20	0	12	0	1	1	0	2	0	0
OTU_647	10	87	0	0	0	78	0	39	0	1	12	3	6	0	0
OTU_382	13	93	0	0	1	94	0	70	0	0	15	0	11	1	1
OTU_287	14	171	0	6	4	168	0	159	2	2	30	1	28	5	4
OTU_1215	5	10	0	0	0	6	0	10	1	1	2	0	2	0	0
OTU_414	27	106	0	0	3	111	0	130	1	0	34	0	16	1	0
OTU_3276	35	60	7	4	9	45	10	34	7	6	21	5	19	0	4
OTU_282	46	87	35	29	40	80	23	62	31	35	36	23	51	26	29
OTU_1089	53	173	1	5	6	162	1	129	9	10	49	4	39	11	11
OTU_2544	3	13	0	0	0	22	0	9	1	2	2	0	3	0	0
OTU_1689	0	8	0	0	0	12	0	11	0	2	0	0	1	0	0
OTU_173	62	439	9	13	9	435	3	255	4	2	77	7	65	2	5
OTU_1845	0	4	0	0	0	5	0	2	0	0	1	0	0	0	0
OTU_339	16	33	76	26	18	40	3	32	45	4	10	52	13	3	9
OTU_435	1	11	104	11	61	9	10	5	15	2	2	38	2	0	0
OTU_234	84	158	32	34	41	151	22	119	18	45	63	39	52	22	35
OTU_144	74	464	11	16	10	600	21	462	17	28	90	7	97	24	39
OTU_1448	25	30	25	15	12	23	23	28	11	9	23	10	23	8	9
OTU_482	8	68	3	0	0	41	1	38	1	1	7	0	16	1	0
OTU_207	150	558	2	2	5	529	2	593	4	3	206	1	163	2	7
OTU_1062	59	53	73	61	64	63	48	47	65	83	66	47	58	68	70
OTU_463	29	79	23	32	22	65	21	55	22	28	21	12	27	31	24
OTU_2083	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU_699	17	26	6	5	10	23	10	24	10	2	13	2	14	6	4
OTU_164	18	93	18	18	349	87	393	65	24	2	10	281	20	2	8
OTU_3387	21	40	31	28	29	40	24	31	23	20	28	15	23	10	19
OTU_697	5	42	1	1	2	54	0	21	4	1	7	0	4	2	1
OTU_2152	2	2	0	0	0	4	0	1	0	0	2	0	0	0	0
OTU_3507	3	1	0	0	2	4	2	0	1	2	1	0	4	0	1
OTU_757	1	17	0	0	1	13	0	6	0	0	3	0	5	1	0
OTU_354	14	116	2	1	1	85	0	68	2	0	32	0	27	1	2
OTU_369	31	33	18	20	22	30	18	25	20	28	27	11	17	13	18
OTU_329	33	164	1	1	1	148	2	105	3	4	27	1	32	2	5
OTU_2381	27	119	2	4	11	235	3	60	3	1	16	8	34	0	2
OTU_1463	56	392	3	6	6	339	5	249	3	9	40	7	67	2	6
OTU_2685	1	34	0	0	0	20	0	21	0	0	2	0	4	0	0
OTU_3470	0	5	0	0	0	7	0	6	0	0	1	0	1	0	0
OTU_3110	7	46	4	1	6	27	4	33	2	2	7	3	11	0	0
OTU_1299	1	3	0	0	0	4	0	10	0	1	1	0	2	0	0
OTU_2980	23	143	3	2	3	145	4	89	2	8	19	3	20	3	7
OTU_280	29	233	5	0	0	195	0	160	1	2	49	1	34	3	6
OTU_460	11	113	0	0	0	53	1	42	1	1	8	0	11	0	1
OTU_3595	69	4	47	32	54	2	38	6	27	23	57	52	59	13	22
OTU_417	44	181	3	1	15	170	3	101	9	12	31	5	31	2	5
OTU_2977	116	391	11	10	18	365	9	196	12	12	76	9	106	11	11
OTU_177	86	339	16	16	10	411	10	259	16	15	56	7	78	11	18
OTU_359	13	106	0	0	1	115	0	81	4	1	17	0	20	0	0
OTU_290	55	82	73	35	51	98	426	57	54	20	54	35	39	20	16
OTU_167	70	460	7	11	6	395	5	268	3	3	65	6	81	4	2
OTU_320	21	193	4	4	1	178	2	144	6	6	22	0	42	6	4
OTU_600	5	33	0	0	0	40	0	22	0	0	4	0	8	2	1
OTU_570	9	47	1	0	4	49	2	26	0	0	9	0	2	1	1
OTU_216	76	195	32	28	39	165	25	151	26	33	80	18	73	27	32
OTU_115	96	851	29	18	12	963	18	408	26	13	88	18	80	11	14
OTU_397	5	32	5	89	0	31	1	25	63	3	13	1	1	1	1
OTU_2902	0	19	0	0	0	8	0	6	0	0	3	0	1	0	0
OTU_1193	2	18	0	0	0	15	0	12	0	0	2	0	3	0	0
OTU_584	11	92	0	0	0	109	0	63	3	0	10	0	10	6	1
OTU_272	28	64	73	61	16	40	47	29	151	5	15	28	9	5	3
OTU_243	46	231	1	0	3	203	2	151	3	5	25	3	47	3	6
OTU_1929	39	127	4	6	2	120	4	106	7	8	76	1	39	5	10
OTU_413	4	13	54	64	292	13	161	8	47	2	4	189	5	3	4
OTU_1186	3	6	9	16	135	5	38	6	13	2	1	44	0	2	4
OTU_212	68	239	6	4	3	277	4	180	1	5	76	3	62	2	0
OTU_228	119	390	4	12	8	371	7	257	7	14	81	4	83	12	11
OTU_431	21	73	3	1	0	84	0	46	0	1	13	1	12	1	0
OTU_1760	1	10	0	0	0	15	0	9	0	0	1	0	1	0	0
OTU_1685	0	6	0	0	0	6	0	2	0	1	0	0	1	0	0
OTU_1450	1	1	0	0	0	0	0	5	0	0	1	1	12	0	0
OTU_510	107	546	13	16	15	582	13	619	20	10	184	8	138	30	30
OTU_469	10	46	1	1	1	87	0	44	1	1	17	0	14	1	2
OTU_3730	32	208	3	0	6	205	0	133	1	1	27	2	30	1	1
OTU_830	3	20	2	0	1	21	0	18	0	1	2	0	0	0	1
OTU_313	47	276	6	11	7	243	9	189	7	6	19	4	42	10	11
OTU_2078	67	182	29	26	23	179	30	89	50	7	64	16	75	6	6
OTU_1035	6	13	0	0	2	11	2	6	1	0	3	0	1	0	0
OTU_611	10	73	0	0	1	64	0	64	0	3	5	0	10	1	2
OTU_507	5	38	1	1	1	58	0	20	3	3	11	1	7	0	1
OTU_2473	8	8	46	41	61	12	139	11	77	0	8	48	9	4	8
OTU_2218	47	336	12	8	8	283	12	228	3	6	54	9	57	4	5
OTU_239	39	262	3	7	5	274	2	123	4	4	27	2	28	1	4
OTU_252	15	154	1	2	1	223	1	172	2	0	23	0	33	1	1
OTU_231	103	129	64	47	63	118	64	107	72	75	96	52	74	60	65
OTU_366	26	101	1	1	1	94	0	49	0	2	14	1	14	1	3
OTU_3482	5	38	0	0	0	43	0	41	0	0	5	1	8	0	0
OTU_505	1	47	2	2	7	39	2	32	13	0	12	4	4	1	1
OTU_278	28	292	2	1	4	307	3	282	1	10	32	1	42	4	4
OTU_346	12	151	1	0	2	173	1	77	1	1	14	1	8	0	1
OTU_121	244	480	23	24	14	552	28	273	88	45	248	12	232	50	62
OTU_275	108	288	9	3	9	306	5	192	8	2	92	7	106	4	2
OTU_3169	7	11	127	99	21	11	42	7	128	252	10	23	4	171	351
OTU_357	17	113	3	2	6	96	2	86	1	0	19	1	19	4	0
OTU_2594	14	86	1	2	1	97	0	56	1	1	16	3	15	2	0
OTU_1625	25	91	1	1	1	73	1	53	2	0	18	2	17	1	0
OTU_753	10	39	0	0	2	29	0	18	1	2	7	1	6	1	1
OTU_3021	2	10	4	1	6	15	3	7	3	10	1	4	5	4	9
OTU_187	49	404	8	6	4	405	2	252	3	0	62	3	70	3	4
