taxid	rank	name	childcount	min	max	mode	median	mean	stddev	sum16slist
	family	"Porphyromonadaceae"	14	2	7			3.43	1.50	[2, 2, 4, 2, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 7, 7, 7, 7, 7, 3, 4, 4, 2, 2, 2, 2, 5, 5, 2, 2]
33925	family	Entomoplasmataceae	49	1	3			1.99	0.22	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2]
31989	family	Rhodobacteraceae	55	1	6			2.76	1.21	[1, 2, 3, 2, 4, 5, 3, 2, 2, 4, 4, 2, 4, 4, 1, 2, 1, 5, 4, 1, 4, 1, 4, 3, 1, 3, 5, 4, 3, 5, 1, 1, 1, 4, 4, 4, 3, 3, 3, 4, 3, 2, 3, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 1, 5, 5, 5, 5, 5, 6, 3, 4, 3, 2, 3, 2, 2, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 5, 4, 4, 2, 2, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 2, 2, 1, 1, 1, 3, 4, 2, 3, 2, 3, 3, 1, 4, 2, 2, 2, 1, 2, 2, 3, 5, 3, 4, 1]
213119	family	Desulfobacteraceae	5	1	6			3.20	1.72	[1, 6, 2, 4, 3, 3]
	family	Burkholderiales_incertae_sedis	7	1	4			2.64	1.22	[2, 1, 1, 1, 1, 3, 3, 4, 4, 4]
49546	family	Flavobacteriaceae	60	1	13			2.97	1.37	[1, 2, 2, 3, 2, 1, 2, 2, 2, 1, 3, 2, 2, 5, 3, 2, 3, 6, 6, 5, 3, 4, 6, 6, 6, 1, 1, 1, 1, 4, 12, 13, 6, 5, 5, 7, 5, 7, 6, 3, 6, 6, 3, 3, 6, 3, 6, 3, 4, 3, 9, 3, 3, 3, 6, 3, 6, 4, 3, 4, 4, 4, 4, 3, 3, 3, 4, 3, 3, 3, 4, 4, 3, 3, 4, 4, 3, 4, 4, 3, 3, 2, 6, 6, 6, 7, 6, 6, 5, 5, 6, 4, 5, 3, 6, 6, 6, 5, 5, 6, 7, 7, 7, 7, 6, 7, 4, 7, 6, 6, 6, 6, 7, 7, 8, 4, 2, 2, 3, 2, 4, 4, 4, 3, 3, 2, 6, 8, 3, 2, 6, 5, 2, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 6, 6, 2, 2, 3, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 5, 4, 4, 4, 4, 4, 5, 5, 2, 2, 2, 2, 2, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 4, 2, 2, 3, 3, 3, 2, 3, 3, 3, 4, 2, 8, 5, 9, 9, 9, 2, 2, 3, 2, 2, 3, 10, 6, 5, 6, 3, 2, 2, 4, 3, 3, 3, 4, 4, 6, 3, 2, 3, 2, 3, 3, 3, 2, 2, 2, 4, 7]
75787	family	Rhodocyclaceae	11	2	5			2.80	0.81	[2, 2, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 3, 3, 3, 4, 4, 3, 4, 4, 2, 4, 2, 2, 3]
41295	family	Rhodospirillaceae	17	1	10			3.49	2.01	[1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 9, 9, 9, 9, 10, 9, 7, 10, 9, 10, 10, 9, 9, 2, 2, 4, 4, 4, 7, 4, 1, 4, 6, 4, 1, 1, 5, 2, 5, 4, 6]
641	family	Vibrionaceae	10	6	21			9.64	2.49	[7, 7, 10, 8, 9, 8, 11, 7, 8, 7, 11, 9, 8, 7, 7, 9, 11, 7, 9, 8, 11, 11, 12, 11, 7, 10, 8, 8, 6, 9, 12, 11, 10, 8, 10, 8, 7, 8, 10, 7, 10, 10, 8, 12, 7, 12, 10, 11, 11, 11, 10, 12, 9, 14, 11, 11, 11, 10, 11, 9, 9, 12, 12, 12, 12, 13, 10, 13, 9, 11, 9, 12, 10, 8, 12, 12, 9, 11, 8, 9, 10, 9, 8, 9, 10, 10, 12, 12, 11, 12, 12, 9, 12, 12, 11, 12, 14, 12, 12, 12, 12, 12, 12, 12, 12, 7, 12, 7, 8, 11, 13, 9, 10, 10, 9, 11, 13, 9, 10, 8, 8, 9, 11, 10, 9, 8, 10, 9, 8, 10, 12, 11, 12, 12, 9, 12, 12, 12, 7, 12, 11, 10, 12, 13, 12, 9, 9, 12, 11, 10, 10, 12, 12, 9, 11, 12, 15, 11, 11, 9, 12, 11, 11, 9, 10, 10, 12, 12, 12, 12, 12, 11, 9, 9, 10, 12, 13, 9, 12, 11, 10, 14, 12, 10, 12, 13, 10, 9, 12, 11, 12, 13, 10, 8, 6, 9, 9, 9, 7, 12, 12, 7, 13, 15, 9, 15, 9, 15, 21, 15, 9, 9, 9, 13, 6]
137	family	Spirochaetaceae	10	1	7			1.73	0.99	[1, 1, 1, 1, 2, 2, 4, 4, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 7, 4, 4, 3, 4, 2]
	family	Peptococcaceae 2	2	5	10			8.00	0.00	[8, 8, 10, 8, 5, 8, 9]
2272	family	Desulfurococcaceae	6	1	1			1.00	0.00	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	family	Clostridiaceae 1	8	4	16			7.54	3.24	[6, 5, 5, 5, 14, 6, 11, 10, 7, 8, 10, 10, 7, 14, 8, 8, 9, 9, 9, 11, 11, 9, 9, 9, 9, 9, 9, 11, 10, 11, 9, 8, 11, 9, 12, 9, 16, 8, 14, 10, 10, 10, 10, 8, 11, 11, 10, 16, 4, 9, 9, 9, 11, 10, 11, 9, 9, 10, 10, 6, 8, 7, 10, 10, 10, 16, 9, 9, 9, 12, 8, 9, 9, 7, 9, 9, 9, 9, 9, 10, 12, 11, 12, 14, 12, 12, 10, 9, 10, 9, 9, 10, 9, 9, 9, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 10, 14, 10, 9, 10, 10, 7, 11, 11, 9, 9, 14, 11, 8, 9, 11, 12, 11, 12, 14, 15, 9, 7, 10, 10, 10, 11, 10, 5]
84107	family	Coriobacteriaceae	14	1	5			2.46	0.90	[2, 2, 2, 2, 3, 2, 2, 1, 3, 3, 1, 2, 4, 4, 2, 2, 2, 2, 3, 5, 5, 5, 5, 3, 3]
186803	family	Lachnospiraceae	18	4	11			5.16	1.72	[4, 4, 4, 4, 4, 4, 4, 8, 6, 5, 5, 4, 4, 4, 4, 5, 5, 4, 5, 8, 5, 6, 4, 11, 11, 4, 6, 4, 7, 5, 5, 5, 5, 8, 5, 9, 4, 9, 4, 5, 5, 5]
506	family	Alcaligenaceae	23	2	5			2.82	0.40	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 4, 4, 3, 3, 4, 4, 4, 4, 4, 3, 4, 3, 3, 4, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3]
1046	family	Chromatiaceae	8	1	6			2.69	1.25	[2, 2, 2, 2, 2, 2, 3, 3, 3, 1, 2, 6, 5]
712	family	Pasteurellaceae	20	1	8			5.95	0.22	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 8, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 5, 6, 1, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]
75682	family	Oxalobacteraceae	12	1	9			3.74	2.29	[1, 7, 1, 3, 2, 2, 2, 3, 3, 2, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 1, 8, 8, 8, 8, 8, 7, 8, 7, 6, 7, 7, 8, 7, 9, 1, 2, 2, 6, 3]
80864	family	Comamonadaceae	20	1	9			2.76	0.91	[2, 2, 2, 3, 2, 3, 2, 3, 1, 5, 1, 2, 1, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 3, 4, 3, 3, 3, 3, 5, 5, 5, 5, 5, 2, 2, 2, 2, 2, 3, 3, 9, 2, 5, 4, 7, 3, 5, 3, 3, 1, 2, 1, 2, 2, 2, 2, 2, 3, 3, 2, 4, 2, 3, 3]
809	family	Chlamydiaceae	3	1	3			1.26	0.36	[1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 2, 3, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 1, 1, 1, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
1268	family	Micrococcaceae	11	2	9			2.87	1.04	[2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6, 5, 4, 5, 6, 6, 7, 6, 6, 6, 6, 8, 6, 5, 5, 6, 6, 6, 4, 9, 4, 5, 6, 4, 5, 5, 5, 4, 5, 4, 5, 6, 5, 6, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 4, 3, 2, 3, 3, 2]
28256	family	Halomonadaceae	9	1	8			5.03	1.89	[1, 4, 5, 4, 6, 6, 4, 1, 4, 4, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 7, 7, 4, 4, 4, 5, 8]
2236	family	Halobacteriaceae	18	1	3			1.53	0.79	[1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 3, 3, 3, 3, 2, 3, 1, 1, 3, 3, 2, 1, 1, 1, 3, 1, 2, 3, 1, 1]
39	family	Cystobacteraceae	4	2	4			2.75	0.83	[3, 2, 2, 2, 2, 2, 4, 4]
135621	family	Pseudomonadaceae	14	1	9			4.04	1.17	[5, 3, 5, 4, 4, 5, 4, 4, 1, 4, 7, 5, 5, 5, 5, 5, 6, 4, 4, 4, 6, 4, 7, 7, 7, 4, 5, 5, 7, 5, 4, 4, 4, 4, 6, 8, 4, 5, 6, 6, 6, 4, 4, 6, 4, 4, 4, 6, 4, 7, 7, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 7, 5, 4, 5, 5, 8, 7, 6, 4, 4, 4, 7, 7, 4, 5, 4, 6, 4, 6, 7, 6, 4, 1, 5, 4, 5, 4, 4, 5, 5, 6, 4, 6, 6, 6, 5, 6, 4, 4, 5, 4, 4, 6, 4, 7, 5, 6, 4, 6, 5, 6, 4, 5, 5, 7, 7, 5, 4, 4, 4, 5, 5, 4, 8, 6, 5, 4, 5, 4, 4, 5, 6, 7, 7, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 7, 4, 4, 5, 6, 6, 4, 4, 4, 6, 5, 5, 4, 3, 5, 5, 4, 5, 4, 4, 6, 6, 4, 5, 6, 7, 6, 6, 7, 4, 4, 8, 5, 1, 1, 5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 6, 4, 6, 4, 4, 4, 4, 4, 7, 4, 7, 4, 4, 4, 5, 5, 5, 4, 7, 5, 5, 7, 5, 5, 6, 7, 6, 4, 3, 5, 4, 4, 4, 4, 4, 8, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 7, 6, 5, 5, 7, 4, 4, 4, 6, 7, 7, 7, 7, 6, 4, 7, 5, 6, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 6, 7, 7, 4, 7, 9, 7, 6, 6, 7, 7, 5, 6, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 5, 4, 6, 4, 4, 4, 4, 4, 4, 6, 4, 4, 4, 4, 4, 6, 4, 4, 4, 6, 6, 4, 4, 6, 5, 4, 4, 4, 7, 4, 4, 6, 5, 4, 4, 4, 4, 4, 4, 5, 5, 4, 5, 5, 7, 4, 5, 8, 7, 5, 7, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 7, 7, 5, 4, 4, 4, 6, 4, 4, 4, 4, 4, 6, 6, 4, 4, 6, 4, 6, 7, 4, 4, 4, 5, 6, 6, 5, 7, 6, 6, 4, 4, 7, 5, 6, 7, 7, 4, 4, 5, 6, 6, 4, 4, 4, 4, 4, 7, 7, 4, 4, 4, 4, 4, 4, 5, 7, 5, 7, 4, 5, 4, 4, 5, 5, 5, 5, 6, 5, 4, 4, 5, 6, 4, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 6, 6, 5, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 7, 4, 4, 6, 4, 4, 5, 4, 8, 4, 5, 4, 4, 4, 7, 4, 3, 5, 2, 5, 3, 6, 6, 6, 6, 6, 6, 3, 4, 5, 3, 3]
72275	family	Alteromonadaceae	12	1	7			4.56	1.37	[4, 5, 2, 5, 6, 3, 3, 3, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 7, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 1, 5, 4, 7, 3, 4, 3, 5, 4, 7, 6, 4, 7, 5, 4]
	family	"Rhodothermaceae"	4	1	1			1.00	0.00	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
188711	family	Thermodesulfobacteriaceae	3	1	2			1.33	0.47	[1, 1, 1, 1, 2]
32033	family	Xanthomonadaceae	18	1	4			2.09	0.66	[2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 2, 3, 4, 4, 4, 4, 4, 2, 4, 3, 4, 3, 4, 4, 3, 4, 2, 4, 4, 1, 4, 4, 4, 3, 4, 4, 2, 1, 1, 2, 2, 4, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2]
31977	family	Veillonellaceae	8	4	15			6.15	2.55	[4, 4, 4, 4, 4, 4, 4, 7, 4, 4, 4, 9, 15, 7, 7, 7, 6, 6, 5, 5, 5, 4, 12, 5]
128827	family	Erysipelotrichaceae	6	3	14			9.47	3.24	[14, 7, 3, 4, 9, 5, 5, 7, 3, 6, 9, 12, 5, 9, 9, 9, 11]
126	family	Planctomycetaceae	22	1	8			1.99	1.56	[2, 1, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 2, 2, 3, 1, 2, 2, 1, 1, 1, 8, 3, 5, 2, 5, 4, 3, 3, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 2, 2, 1, 1]
82115	family	Rhizobiaceae	5	2	6			3.08	0.15	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 4, 3, 3, 3, 3, 5, 3, 3, 4, 3, 3, 3, 3, 5, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 3, 3, 3, 3, 4, 4, 3, 3, 3, 5, 4, 5, 4, 4, 5, 4, 2, 5, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 3, 3, 3, 3, 3, 3, 3, 3]
292628	family	Anaerolineaceae	5	1	2			1.40	0.49	[2, 1, 1, 2, 1]
72276	family	Ectothiorhodospiraceae	8	1	2			1.50	0.50	[1, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1]
69277	family	Phyllobacteriaceae	9	1	3			1.69	0.69	[1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 1, 2, 2, 2, 1, 3, 2, 2, 3, 2]
118882	family	Brucellaceae	4	3	5			3.33	0.58	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 5, 5, 4, 4]
89373	family	Cytophagaceae	13	1	5			3.04	0.49	[3, 2, 3, 4, 3, 3, 3, 4, 2, 2, 3, 3, 3, 3, 4, 3, 3, 3, 3, 4, 4, 5, 3, 3, 3, 3, 1, 3, 2, 4, 3, 3, 3, 3, 3]
