OTUID	B1	B1D1	B1D2	B1D3	B1D4	B1D5	B1L1	B1L2	B1L3	B1L4	B1L5	B1R1	B1R2	B1R3	B1R4	B1R5	B1U1	B1U2	B1U3	B1U4	B1U5	B2	B2D1	B2D2	B2D3	B2D4	B2D5	B2L1	B2L2	B2L3	B2L4	B2L5	B2R1	B2R2	B2R3	B2R4	B2R5	B2U1	B2U2	B2U3	B2U4	B2U5	B3	B3D1	B3D2	B3D3	B3D4	B3D5	B3L1	B3L2	B3L3	B3L4	B3L5	B3R1	B3R2	B3R3	B3R4	B3R5	B3U1	B3U2	B3U3	B3U4	B3U5	T0	T0D1	T0D2	T0D3	T0D4	T0D5	T0D6	T0L1	T0L2	T0L3	T0L4	T0L5	T0L6	T0R1	T0R2	T0R3	T0R4	T0R5	T0R6	T0U1	T0U2	T0U3	T0U4	T0U5	T0U6	T1	T1D1	T1D2	T1D3	T1D4	T1D5	T1D6	T1L1	T1L2	T1L3	T1L4	T1L5	T1L6	T1R1	T1R2	T1R3	T1R4	T1R5	T1R6	T1U1	T1U2	T1U3	T1U4	T1U5	T1U6	DL1	DL10	DL30	DL5	DL75	DR1	DR10	DR30	DR5	DR75	HA0	UL1	UL10	UL30	UL5	UL75	UR1	UR10	UR30	UR5	UR75
OTU_18740	1	1	13	2	3	6	1	2	5	1	3	0	2	1	2	1	2	5	3	0	4	0	5	6	4	0	0	4	0	0	0	7	6	3	4	1	0	4	12	1	0	0	2	0	1	1	0	4	0	2	1	1	2	0	0	1	4	3	1	0	0	5	1	0	0	0	0	4	0	1	1	0	0	1	2	0	0	3	0	1	3	1	0	0	0	0	1	2	0	0	2	3	2	2	0	1	0	0	0	0	0	3	1	3	4	2	1	2	0	5	0	2	1	5	8	12	2	1	20	29	4	17	12	3	3	21	19	9	0	11	8	14	16	3
OTU_104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	55	92	5	41	0	5	2	6	0	62	28	48	21	14	18	0	16	0	18	6
OTU_8211	0	0	0	1	1	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	7	12	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_17780	3	1	2	0	1	0	2	1	4	1	2	1	2	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	6	1	3	0	10	4	0	5	7	0	2	1	2	8	5	6	3	2	3	0
OTU_2462	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	2	0	0	1	0	0	0	1	0	1	1	3	1	3	1	0	2	1	0	3	2	2	2	2	2	1	0	3	3	1	2	3	0	0	3	0	1	3	0	1	1	2	2	4	1	0	2	4	0	3	1	4	3	0	2	3	1	1	2	1	2	3	6	2	2	2	4	1	2	0	3	1	1	2	0	1	2	14	0	9	2
OTU_4844	5	28	48	12	35	0	11	78	4	50	6	27	21	39	0	0	13	56	33	14	68	0	3	7	2	0	2	10	0	4	11	3	0	2	4	8	29	0	4	12	2	5	122	48	20	33	2	18	94	65	39	46	7	41	23	83	15	32	69	118	1	46	6	2	4	3	4	0	1	1	2	2	1	7	0	5	1	3	1	3	6	2	1	2	5	4	1	0	6	0	4	0	1	4	4	2	0	3	2	1	2	0	3	3	2	1	1	0	3	3	3	2	4	1	0	0	0	0	0	0	2	0	0	0	1	1	0	1	1	0	0	1	0	0
OTU_39233	6	17	10	6	4	4	5	5	25	5	15	13	8	19	12	17	10	12	18	9	17	11	10	17	1	3	7	4	5	1	3	1	3	20	2	5	5	5	6	2	0	0	2	5	9	19	13	6	4	5	0	1	4	16	14	4	4	22	5	2	25	1	3	2	0	1	3	0	0	0	2	2	0	3	0	3	4	1	2	0	0	2	3	2	1	0	0	0	2	2	0	7	1	1	0	2	2	2	8	5	1	2	2	4	3	0	1	1	1	1	1	2	1	2	0	1	0	0	0	0	4	0	3	0	1	0	0	2	3	19	1	0	0	16
OTU_75869	24	45	21	121	48	53	5	102	42	98	47	53	30	69	1	0	56	51	33	23	71	2	60	66	77	53	11	17	1	85	43	118	25	65	57	196	27	120	71	126	105	69	60	47	68	29	1	71	51	58	62	131	45	61	95	48	73	98	26	38	0	80	83	65	71	65	91	1	28	13	25	44	77	34	100	25	28	72	19	37	5	27	53	29	36	13	22	41	18	0	3	61	36	17	0	29	28	1	1	0	69	71	63	12	18	4	12	50	165	21	22	70	7	57	228	73	10	25	29	34	79	71	12	75	28	73	95	187	355	31	56	20	78	118
OTU_27439	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	1	0	1	0	2	0	1	1	1	0	0	0	3	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	1	1	0	0	2	2	0	0	1	0	3	0	0	3	1	0	2	1
OTU_376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	6	2	11	1	9	3	1	0	3	0	1	7	1	3	0	4	15	5	3
