OTUID	B1	B1D1	B1D2	B1D3	B1D4	B1D5	B1L1	B1L2	B1L3	B1L4	B1L5	B1R1	B1R2	B1R3	B1R4	B1R5	B1U1	B1U2	B1U3	B1U4	B1U5	B2	B2D1	B2D2	B2D3	B2D4	B2D5	B2L1	B2L2	B2L3	B2L4	B2L5	B2R1	B2R2	B2R3	B2R4	B2R5	B2U1	B2U2	B2U3	B2U4	B2U5	B3	B3D1	B3D2	B3D3	B3D4	B3D5	B3L1	B3L2	B3L3	B3L4	B3L5	B3R1	B3R2	B3R3	B3R4	B3R5	B3U1	B3U2	B3U3	B3U4	B3U5	T0	T0D1	T0D2	T0D3	T0D4	T0D5	T0D6	T0L1	T0L2	T0L3	T0L4	T0L5	T0L6	T0R1	T0R2	T0R3	T0R4	T0R5	T0R6	T0U1	T0U2	T0U3	T0U4	T0U5	T0U6	T1	T1D1	T1D2	T1D3	T1D4	T1D5	T1D6	T1L1	T1L2	T1L3	T1L4	T1L5	T1L6	T1R1	T1R2	T1R3	T1R4	T1R5	T1R6	T1U1	T1U2	T1U3	T1U4	T1U5	T1U6	DL1	DL10	DL30	DL5	DL75	DR1	DR10	DR30	DR5	DR75	HA0	UL1	UL10	UL30	UL5	UL75	UR1	UR10	UR30	UR5	UR75
OTU_26757	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	32	2	1	0	0	8	3	13	6	3	1	11	4	24	7	6	7	0	32	1
OTU_48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	251	0	1474	3605	1	4	1	1	0	0	0	1	0	1	0	1	0	0	0	2
OTU_3998	0	0	5	0	0	0	3	1	0	3	1	0	0	0	3	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	22	8	19	34	18	38	38	4	23	16	9	13	25	29	12	3	15	40	24	36	38
OTU_70782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	3	4	11	0	1	0	0	0	1	0	0	1	10	8	0	0	0	0	4	2	3	0	0	0	1	1	0	4	0	0	2	4	0	1	3	0	0	0	6	0	7	0	2	1	0	0	5	3	3	12	8	6	7	7	10	3	6	1	2	3	8	6	4	6	3	3	5	5	8	22
OTU_181	16	13	7	34	31	6	2	18	15	23	7	101	20	30	8	2	44	15	15	23	27	16	40	60	48	11	9	19	14	34	9	9	51	47	65	7	27	19	18	23	27	0	19	24	22	7	14	3	56	22	34	9	2	18	5	34	4	39	31	38	28	2	8	1	1	6	5	0	0	0	1	0	0	1	0	4	7	0	0	0	0	0	1	0	2	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	2	1	2	0	1	0	0	0	0	0	0	0	0	24	3	13	18	14	25	5	49	1	19	37	23	23	7	12	17	17	11	21	6	27
OTU_171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	23	8	94	9	106	54	212	153	34	0	0	52	89	4	33	86	117	78	136	104
OTU_22554	1	13	23	2	1	0	5	7	0	3	5	0	6	3	5	7	4	25	7	0	10	0	0	0	0	0	0	7	0	1	0	0	0	0	1	2	2	0	0	1	0	0	0	1	0	1	2	1	0	3	0	0	1	0	0	0	10	2	3	0	1	4	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	3	1	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	3	0	0	0	40	38	33	10	18	43	51	16	42	24	26	31	40	43	33	26	20	56	39	62	13
OTU_82	16	29	95	5	15	0	3	60	12	4	14	3	37	35	0	1	10	64	22	0	26	0	0	3	0	0	0	0	0	1	0	6	0	0	1	5	5	1	1	0	0	11	18	35	5	18	9	70	11	11	7	1	5	6	7	18	67	3	9	11	0	38	0	1	5	0	4	1	7	8	2	8	4	3	6	2	1	1	4	3	7	6	3	2	1	13	7	3	4	0	15	11	4	8	0	2	0	0	1	0	4	3	3	7	7	7	5	4	0	1	11	5	5	164	110	101	133	72	176	351	98	139	40	127	125	108	82	60	190	139	193	144	239	197
OTU_3055	0	1	0	0	1	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	3	3	1	2	0	1	1	1	0	0	2	3	1	0	0	0	9	5	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	7	2	1	0	0	2	1	0	0
OTU_7996	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0
OTU_99729	1	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	2	1	0	0	0	1	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_778	12	28	29	31	15	32	10	22	20	19	15	17	25	17	6	4	15	15	17	9	18	2	16	29	40	31	9	10	0	21	14	31	11	13	38	27	13	22	27	27	15	2	16	9	17	23	32	14	23	31	21	8	21	9	13	18	31	18	19	18	18	41	4	0	1	1	0	2	1	2	0	0	3	2	4	2	0	1	1	0	1	1	1	1	0	5	0	3	2	0	4	5	7	3	0	2	3	0	0	0	1	1	3	2	3	1	7	1	2	3	5	3	3	3	13	13	7	2	7	11	11	19	12	5	13	4	17	14	20	4	15	8	30	6
OTU_237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	26	198	60	9	27	11	147	54	24	17	15	23	34	22	240	78	55	56	48	54
OTU_52400	3	0	0	0	0	0	1	0	0	0	4	0	1	0	2	5	0	1	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	2	2	1	0	1	1	0	1	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	10	7	9	3	6	8	7	3	11	27	11	6	12	19	4	7	4	27	18	37	18
OTU_107242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	20	6	26	16	27	46	7	39	4	12	24	10	17	17	7	3	21	11	10	5
OTU_110	2	16	6	0	5	0	7	19	6	1	1	3	16	7	13	3	0	12	98	0	27	0	0	0	0	0	0	14	0	0	0	12	0	0	0	3	4	0	0	0	0	0	0	0	2	0	3	1	1	0	0	1	1	1	1	4	7	4	1	1	1	3	0	2	2	9	9	1	2	16	3	2	5	2	6	2	7	12	2	6	15	23	3	13	6	14	5	8	1	8	9	28	0	17	1	11	1	1	0	1	2	3	5	0	18	6	1	4	4	6	9	4	4	22	24	17	0	13	31	24	5	26	30	25	94	34	25	37	12	8	13	17	10	5
OTU_80486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	15	0	8	1	0	52	2	15	3	3	2	8	2	1	1	5	9	0	41	1
OTU_369	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	1	1	0	1	0	0	0	0	0	0	23	47	31	8	17	4	7	2	28	13	38	58	23	17	12	38	6	30	4	34	1
OTU_199	18	19	60	5	13	0	9	29	8	20	25	7	38	34	17	38	11	39	14	2	28	6	0	0	0	1	0	2	1	12	2	4	0	0	0	16	6	0	0	8	3	17	18	24	36	29	21	28	10	10	20	10	9	16	23	13	61	12	17	11	12	51	7	5	4	3	4	5	6	3	4	6	6	4	5	0	3	2	4	4	6	3	5	5	4	0	2	10	4	10	5	4	6	5	2	5	4	4	18	9	4	3	2	4	3	4	3	3	2	5	10	8	5	3	3	3	2	1	1	4	6	5	4	0	1	1	2	4	0	2	8	11	8	1
OTU_6171	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_619	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	3	8	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	1	1	1	0	0	4	1	1	2	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	1	0	0	0	21	9	17	7	6	15	11	23	19	6	11	19	21	11	11	36	8	18	10	23	25
OTU_726	0	1	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	20	11	0	10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	43	21	20	17	36	56	17	20	8	23	31	37	19	22	16	14	25	9	74	26
OTU_398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	27	44	11	15	11	22	47	0	41	0	11	40	27	27	52	3	35	21	1	14	2
OTU_669	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	16	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	89	94	67	46	130	129	50	116	23	113	99	94	38	70	53	110	33	24	56	182
OTU_65533	6	6	25	1	9	0	4	16	5	3	18	3	5	16	3	13	11	31	8	1	9	5	0	1	0	1	1	6	2	2	0	0	4	1	0	5	4	0	0	3	2	2	3	3	5	5	8	4	0	5	2	2	7	7	6	4	21	3	8	3	12	16	3	1	1	1	1	2	6	6	4	2	4	2	1	4	5	4	5	12	3	8	4	3	2	4	3	4	6	2	11	5	7	6	5	2	3	8	8	3	5	8	2	2	6	7	3	10	9	15	7	3	3	37	28	48	23	16	108	93	74	29	38	75	36	41	73	21	30	66	36	90	25	42
OTU_266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	6	10	13	28	22	15	23	4	12	20	34	19	16	7	7	32	10	14	4	146
OTU_7298	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	39	51	75	31	80	169	35	57	21	65	53	52	52	48	84	37	62	72	74	120
OTU_105458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0
OTU_41192	1	3	0	1	1	0	0	0	3	2	0	2	2	0	1	0	5	3	1	0	0	0	1	2	0	1	0	0	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	2	8	1	1	2	0	3	1	0	7	1	2	1	2	0	2	2	1	3	0	3	1	1	2	0	7	0	0	0	3	0	3	6	3	2	2	1	1	0	4	1	2	1	1	3	1	0	0	0	1	0	1	0	1	3	0	1	0	0	2	2	4	1	2	2	2	2	9	9	11	30	6	42	20	22	52	44	13	7	18	22	5	6	17	50	35	44	10
OTU_411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	6	0	2	0	10	0	0	0	31	0	4	2	15	5	0	0	0	4	3
OTU_33	63	119	169	69	245	1	26	323	33	296	56	137	88	176	19	17	192	226	185	65	221	2	31	81	61	45	34	36	0	87	78	45	19	16	136	37	203	21	50	127	46	0	509	446	126	193	55	94	420	331	183	450	83	137	52	409	76	227	283	549	24	234	71	10	23	17	38	1	22	1	30	10	11	8	1	8	32	8	3	12	8	13	25	9	22	9	7	6	6	1	7	12	1	15	1	9	4	2	3	4	11	4	19	6	35	2	13	3	30	6	8	13	14	25	10	11	6	16	41	37	30	8	6	40	37	21	16	16	19	13	11	15	27	10
OTU_101548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	5	0	0	0	0	3	1	1	2	3	2	1	2	0	2	1
OTU_91878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
OTU_16664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	3	0	0	0	1	0	0	0	0	0	0
OTU_11990	3	3	9	7	6	3	8	3	4	3	1	0	18	3	2	2	5	7	12	1	1	8	7	4	9	6	8	8	5	2	3	14	4	3	23	3	4	9	9	6	1	10	8	20	19	24	8	19	10	19	20	9	14	8	10	9	11	3	9	13	2	10	2	0	0	1	0	1	1	2	0	1	0	0	1	0	0	1	1	1	0	3	0	0	1	0	1	1	0	1	0	0	4	1	0	1	1	3	0	0	1	0	2	0	2	0	0	0	0	2	2	1	0	6	12	29	1	1	18	8	3	15	58	5	2	39	26	0	5	16	38	23	9	12
OTU_39014	15	29	47	22	103	0	9	99	15	73	6	21	26	33	0	1	23	53	51	7	51	0	9	12	8	4	7	6	1	13	24	10	1	3	10	10	32	4	10	53	26	0	74	90	32	21	12	33	76	51	38	48	20	22	13	59	18	17	36	94	1	35	12	0	1	0	4	0	2	6	1	1	0	2	3	0	1	0	0	2	1	10	3	1	0	2	4	3	2	0	6	6	0	1	0	3	0	0	0	0	1	0	3	2	5	0	2	1	2	2	2	6	2	11	6	5	1	5	5	23	14	7	4	6	5	9	2	5	4	9	7	11	11	3
OTU_31216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	4
OTU_1	205	55	98	23	48	78	218	56	65	50	151	63	54	96	399	395	202	34	41	104	40	150	39	19	59	134	179	100	128	66	84	130	108	103	50	70	108	44	50	56	47	4	53	85	173	233	234	76	37	127	42	104	156	136	153	71	216	191	179	89	287	155	127	35	23	9	20	41	16	14	58	18	10	66	24	25	60	32	43	105	31	20	21	37	73	19	46	18	32	196	36	41	38	42	93	39	73	155	161	76	37	79	59	91	81	65	25	26	17	52	20	50	35	17	64	26	7	14	29	26	4	38	69	26	16	29	21	26	16	15	47	13	49	7
OTU_277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	34	5	13	1	2	9	0	0	0	29	6	5	18	3	26	4	16	0	6	3
OTU_179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	51	75	131	49	131	95	73	80	11	79	99	63	42	53	112	51	48	68	68	129
OTU_30064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	0	1	2	4	19	3	10	1	3	0	6	1	1	2	2	3	2	4	1
OTU_67830	3	16	5	18	7	5	1	2	2	22	2	24	3	7	0	0	6	6	11	9	7	0	16	16	15	3	0	4	0	11	0	9	4	15	10	6	5	15	9	3	4	0	5	4	3	3	3	0	14	3	3	2	0	8	0	7	0	0	2	9	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	4	0	5	0	0	4	6	0	1	1	3	0	1	1	0	1
OTU_15336	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	1	0	0	0	0	2	1	0	0	3	6	1	0	1	1	4	0	1
OTU_83318	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1	1	0	1	1	1	1	1	0	0
OTU_24556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	10	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	2	3	6	0	11	2	3	5	5	8	5	17	7	4	10	6	4	7	11	24
OTU_1270	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	3	3	0	1	0	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	13	16	8	9	10	15	33	5	7	3	7	15	18	22	15	9	9	9	5	12	8
OTU_95833	4	4	16	3	4	8	31	2	3	3	11	7	6	6	0	0	10	5	8	5	6	1	3	3	8	4	3	6	1	0	4	6	1	3	6	7	1	3	3	4	1	0	1	3	2	1	0	0	0	4	1	0	0	1	2	0	4	1	0	1	0	7	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0	3	0	1	1	0	0	1	0	1	1	0	7	1	7	0	4	0	5	4	0	4	7	5	4	0	2	1	1	4	2	4
OTU_52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	51	70	86	44	235	171	62	81	6	125	224	112	50	97	62	90	48	45	73	117
