Sample	MC	NH	NO3	N	C	K	P	pH	Cnratio
T0	1.17 	8.02 	2.28 	0.20 	2.10 	149.28 	5.23 	6.73 	10.29 
T0D1	1.35 	6.78 	2.36 	0.24 	2.62 	165.65 	6.97 	6.58 	10.73 
T0D2	1.04 	6.64 	1.46 	0.20 	2.03 	140.50 	3.07 	6.62 	10.33 
T0D3	1.44 	3.66 	26.28 	0.19 	2.01 	123.10 	5.64 	6.84 	10.72 
T0D4	1.03 	10.34 	64.90 	0.22 	2.44 	138.90 	5.66 	6.95 	10.92 
T0D5	1.44 	-0.49 	0.26 	0.25 	2.82 	167.45 	2.45 	6.54 	11.40 
T0D6	1.21 	12.00 	3.65 	0.28 	3.33 	171.60 	40.28 	6.36 	11.73 
T0L1	1.39 	6.13 	8.00 	0.21 	2.16 	153.50 	5.34 	6.78 	10.48 
T0L2	1.39 	6.70 	10.61 	0.24 	2.60 	163.70 	5.27 	6.58 	10.65 
T0L3	1.39 	9.45 	64.88 	0.25 	2.72 	152.55 	4.84 	6.28 	10.84 
T0L4	1.37 	7.07 	52.61 	0.24 	2.57 	116.70 	4.10 	6.68 	10.78 
T0L5	1.46 	6.72 	52.90 	0.26 	2.83 	156.40 	6.22 	6.58 	10.81 
T0L6	1.28 	11.73 	1.22 	0.25 	2.65 	109.20 	4.23 	6.74 	10.48 
T0R1	1.69 	2.06 	69.05 	0.23 	2.49 	103.95 	4.80 	6.45 	11.04 
T0R2	1.96 	2.05 	2.02 	0.22 	2.41 	92.91 	2.20 	6.68 	11.19 
T0R3	1.39 	10.45 	2.28 	0.27 	2.91 	201.47 	40.56 	6.52 	10.91 
T0R4	1.44 	6.78 	2.06 	0.28 	3.21 	139.55 	4.84 	6.32 	11.42 
T0R5	1.56 	8.13 	2.09 	0.32 	3.78 	125.20 	45.68 	6.25 	11.64 
T0R6	1.46 	8.10 	1.28 	0.30 	3.55 	150.95 	24.46 	6.46 	11.72 
T0U1	1.58 	6.78 	2.96 	0.22 	2.32 	143.40 	5.15 	6.49 	10.43 
T0U2	1.25 	7.56 	2.30 	0.22 	2.49 	131.10 	3.62 	6.75 	11.08 
T0U3	1.35 	5.92 	11.04 	0.20 	2.10 	142.00 	5.21 	6.52 	10.29 
T0U4	1.31 	13.66 	1.24 	0.26 	2.83 	158.60 	4.90 	6.54 	10.87 
T0U5	2.13 	9.45 	76.25 	0.24 	2.48 	150.40 	5.37 	6.53 	10.41 
T0U6	1.43 	10.07 	2.52 	0.27 	2.99 	156.30 	9.43 	6.48 	10.93 
T1	1.41 	12.64 	1.20 	0.24 	2.57 	122.35 	5.18 	6.59 	10.70 
T1D1	1.37 	9.97 	1.12 	0.24 	2.70 	105.75 	30.95 	6.60 	11.38 
T1D2	1.48 	11.79 	2.81 	0.26 	2.87 	89.40 	6.16 	6.14 	11.16 
T1D3	1.76 	11.70 	2.11 	0.27 	3.01 	136.35 	5.36 	6.32 	11.07 
T1D4	1.35 	13.04 	2.22 	0.23 	2.40 	122.25 	6.58 	6.31 	10.52 
T1D5	1.57 	12.40 	2.38 	0.26 	2.80 	173.05 	27.19 	6.58 	10.96 
T1D6	1.63 	8.35 	2.17 	0.23 	2.66 	84.75 	4.42 	6.58 	11.44 
T1L1	1.75 	9.39 	2.06 	0.25 	2.74 	121.50 	6.79 	6.34 	11.09 
T1L2	1.61 	14.32 	1.97 	0.23 	2.44 	132.20 	9.45 	6.39 	10.37 
T1L3	1.71 	11.83 	1.02 	0.24 	2.78 	207.95 	5.78 	6.39 	11.46 
T1L4	2.12 	7.17 	2.27 	0.18 	1.75 	124.10 	16.19 	6.35 	9.66 
T1L5	1.19 	10.10 	2.43 	0.21 	2.21 	126.50 	6.53 	6.43 	10.70 
T1L6	1.85 	9.35 	2.70 	0.25 	2.53 	129.40 	5.29 	6.52 	10.28 
T1R1	1.78 	14.01 	1.20 	0.22 	2.37 	145.25 	27.66 	6.25 	10.63 
