 OTUID	N1_0	N2_0	N3_0	N1_40	N2_40	N3_40	N1_60	N2_60	N3_60	E1_0	E2_0	E3_0	E1_40	E2_40	E3_40	E1_60	E2_60	E3_60
OTU_881	0	0	0	0	0	0	0	0	1	0	1	4	0	0	0	0	0	0
OTU_1519	3	4	5	0	2	3	1	3	4	0	2	0	1	1	0	1	0	1
OTU_539	0	0	0	0	0	0	1	0	0	0	0	0	14	0	0	1	0	0
OTU_2219	3	1	1	1	1	0	1	1	0	0	1	1	1	0	0	1	0	1
OTU_579	5	1	5	4	1	3	6	2	5	1	2	2	4	1	2	5	2	1
OTU_653	0	1	1	7	4	0	17	1	30	0	0	0	0	0	0	1	0	0
OTU_1172	11	16	12	2	4	1	3	1	2	4	2	4	1	2	0	0	0	1
OTU_2414	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_298	11	11	9	18	14	12	14	6	14	4	9	8	7	13	9	11	16	15
OTU_596	4	2	1	6	8	4	4	2	4	7	6	5	3	5	5	4	5	4
OTU_2129	5	1	2	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0
OTU_2728	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1
OTU_1074	0	0	0	2	1	1	0	0	1	0	0	0	0	0	1	0	0	0
OTU_941	3	4	2	1	0	0	0	4	0	3	6	0	0	1	0	7	1	2
OTU_2036	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU_749	2	2	2	2	2	1	1	1	2	1	4	1	4	0	1	2	4	5
OTU_761	2	0	1	2	2	2	2	2	2	1	2	1	1	0	1	2	1	0
OTU_2052	0	0	0	1	3	0	2	1	0	0	0	0	0	0	0	0	0	0
OTU_2172	0	0	0	0	0	0	0	0	1	3	2	0	0	0	0	1	0	0
OTU_1444	0	0	3	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0
OTU_2350	15	30	15	1	1	0	1	0	5	10	13	4	1	0	2	0	0	2
OTU_748	12	12	5	4	2	1	1	1	2	0	0	0	0	2	1	0	0	0
OTU_846	3	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1682	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1555	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1
OTU_1285	1	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0
OTU_772	4	1	2	2	3	2	1	2	6	4	4	9	1	2	0	1	3	0
OTU_1738	6	3	6	2	1	0	0	2	3	1	1	0	1	0	2	1	0	0
OTU_799	0	1	0	4	8	6	14	11	15	0	0	0	5	0	4	3	2	3
OTU_439	7	7	2	6	9	6	15	9	13	12	6	12	4	3	9	5	4	5
OTU_1432	0	1	0	2	4	3	0	8	2	0	0	0	0	1	0	0	0	0
OTU_708	0	0	0	1	1	0	0	0	0	18	10	3	0	0	0	0	0	0
OTU_300	0	3	3	1	10	2	7	93	8	0	1	0	2	0	7	3	0	4
OTU_755	7	3	1	1	1	8	3	0	0	0	1	0	0	0	0	0	0	0
OTU_1236	0	1	0	1	5	0	0	0	0	8	16	10	1	1	3	0	1	1
OTU_501	4	10	7	0	3	2	2	12	7	19	20	23	1	13	5	2	3	0
OTU_1610	1	4	1	4	2	2	1	1	1	3	1	0	2	5	0	1	1	1
OTU_668	0	0	0	0	0	5	1	1	0	0	0	0	10	1	1	1	0	1
OTU_701	10	8	2	11	3	11	9	4	5	3	6	2	5	5	4	11	3	4
OTU_1086	8	6	6	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0
OTU_587	0	0	0	2	2	3	0	0	0	6	4	0	0	0	0	0	0	0
OTU_1372	0	0	1	1	9	4	26	2	7	0	1	1	0	1	0	1	0	0
OTU_2217	5	3	2	17	7	7	13	17	12	0	0	0	1	0	1	0	1	2
OTU_597	13	17	13	0	1	1	1	0	2	1	2	2	1	0	1	0	0	0
OTU_266	6	23	13	4	5	6	3	2	10	35	27	13	19	8	7	39	10	8
OTU_575	5	2	0	0	2	0	9	0	0	3	0	0	0	6	0	0	0	3
OTU_436	26	14	8	7	8	11	1	0	0	0	0	0	0	0	0	0	0	0
OTU_490	0	1	0	2	1	3	12	37	5	1	0	0	0	0	0	0	3	2
OTU_577	3	7	1	6	3	0	10	2	3	5	1	4	2	5	1	4	0	4
OTU_788	2	0	1	0	1	0	3	0	3	0	2	3	0	1	3	5	1	1
OTU_2227	1	0	1	1	2	4	1	3	1	25	5	19	5	5	3	5	3	1
OTU_822	2	1	0	3	1	4	3	0	2	3	3	5	2	1	0	0	1	1
OTU_232	0	0	0	0	2	6	1	0	1	0	0	0	176	13	11	1	3	1
OTU_1473	2	3	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0
OTU_1897	6	2	2	2	2	1	2	0	1	0	1	0	0	0	1	0	0	0
OTU_1722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
OTU_440	3	3	4	3	0	3	42	1	9	0	2	0	0	5	0	2	4	6
OTU_876	0	0	0	0	0	0	0	0	0	4	7	7	1	0	0	0	0	0
OTU_318	0	1	0	1	0	0	3	57	3	0	1	0	0	0	0	0	0	0
OTU_1912	1	2	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
