 OTUID	N1_0	N2_0	N3_0	N1_40	N2_40	N3_40	N1_60	N2_60	N3_60	E1_0	E2_0	E3_0	E1_40	E2_40	E3_40	E1_60	E2_60	E3_60
OTU_2647	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_2520	0	1	2	2	0	0	0	0	0	1	2	3	3	1	3	2	0	1
OTU_882	1	0	0	0	0	0	0	0	0	4	1	0	0	6	0	0	0	1
OTU_908	11	9	7	2	1	0	1	1	3	2	3	1	0	0	1	0	0	0
OTU_551	1	0	0	18	4	3	2	17	14	0	0	0	0	0	2	0	0	0
OTU_2454	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_764	0	0	0	0	2	12	0	3	0	0	1	0	0	0	0	0	0	0
OTU_486	2	0	1	3	3	0	3	2	1	0	6	1	6	1	1	8	4	1
OTU_1540	1	2	4	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1
OTU_695	1	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1078	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0
OTU_1804	1	0	0	1	1	1	4	0	1	3	0	1	3	2	1	4	2	2
OTU_2061	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	4	0
OTU_2058	1	5	3	1	0	0	0	0	1	3	1	6	0	1	0	0	1	1
OTU_2490	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
OTU_1434	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_2282	2	4	5	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_1293	5	2	1	1	0	0	0	0	0	0	3	3	0	0	0	0	0	0
OTU_1072	0	1	0	0	0	0	0	0	0	1	4	1	0	0	0	0	0	0
OTU_1328	0	1	0	0	0	0	0	0	0	3	8	0	0	0	1	0	0	0
OTU_1319	0	0	0	0	3	1	0	2	0	0	0	0	0	1	8	1	3	1
OTU_1648	6	11	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_742	0	0	0	1	2	1	4	1	1	0	0	0	0	4	0	3	1	2
OTU_2733	0	0	0	0	1	1	0	0	0	0	1	3	0	0	0	0	0	0
OTU_850	2	0	2	1	0	1	2	1	1	2	2	0	1	0	2	1	1	0
OTU_1422	3	5	7	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
OTU_2040	0	2	0	3	1	4	0	1	2	1	0	0	6	4	5	0	4	0
OTU_2200	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_506	0	0	0	1	1	5	0	0	1	0	0	0	3	26	6	4	4	2
OTU_907	2	2	5	0	1	0	0	0	0	10	12	3	0	1	0	0	1	0
OTU_583	1	3	2	4	3	2	3	1	0	2	2	2	1	3	2	5	0	3
OTU_618	8	1	0	0	0	0	0	0	0	4	4	5	1	0	0	0	0	0
OTU_1273	1	2	4	0	0	1	2	0	0	0	0	0	0	1	0	0	1	0
OTU_1191	6	6	2	0	0	0	2	0	0	1	1	0	0	0	1	0	0	0
OTU_1136	1	1	2	1	1	0	1	1	1	1	0	5	0	0	1	0	0	0
OTU_376	9	21	43	0	1	1	0	0	1	1	3	2	0	0	1	0	1	0
OTU_2759	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_2741	1	2	1	5	0	0	0	1	0	0	1	0	1	0	0	0	0	0
OTU_2473	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_598	3	2	3	3	4	2	4	2	3	2	5	7	1	3	3	4	2	2
OTU_992	1	0	1	0	0	0	0	2	0	1	0	0	1	0	0	1	1	2
OTU_1201	0	0	0	0	0	0	0	0	0	6	8	7	0	0	0	1	0	0
OTU_491	1	2	3	0	1	1	3	1	0	18	27	11	6	3	3	9	5	10
OTU_1931	2	2	1	0	1	0	2	2	0	1	3	0	0	0	1	0	0	0
OTU_2536	0	0	0	0	1	0	0	0	0	1	3	1	0	0	0	0	0	2
OTU_1022	0	0	0	0	0	0	1	4	0	0	1	4	1	0	0	0	1	0
OTU_758	1	2	1	0	1	0	4	2	1	2	0	0	1	3	0	6	0	0
OTU_2674	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0
OTU_1848	0	2	0	2	0	1	1	3	1	2	0	0	0	0	0	0	1	0
OTU_434	0	0	0	0	1	5	0	0	0	0	0	0	0	1	14	0	0	0
OTU_560	0	0	0	0	3	0	0	21	0	0	0	0	0	0	1	0	0	0
OTU_723	0	1	2	0	0	0	4	0	14	0	0	0	0	1	0	0	0	0
OTU_508	0	2	2	2	0	2	0	2	3	4	2	2	0	1	1	4	3	3
OTU_1415	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	2	0	0
OTU_712	0	0	1	0	0	1	0	0	2	16	12	8	0	0	1	0	0	0
OTU_1683	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1420	0	0	1	1	0	1	1	0	1	0	0	1	4	0	3	0	1	0
OTU_425	0	0	0	0	0	0	4	6	2	0	0	0	0	0	4	5	2	1
OTU_1424	0	0	0	0	1	2	1	0	0	1	2	1	0	0	1	0	1	0
OTU_760	0	0	0	0	0	6	0	1	1	0	0	0	0	0	0	0	0	0
OTU_650	9	16	8	0	1	3	1	1	0	0	1	0	2	0	1	3	4	1
OTU_642	0	0	0	0	2	1	3	24	8	0	0	0	0	0	1	0	0	0
OTU_548	4	9	5	5	17	4	23	19	7	0	0	0	0	0	0	0	0	0
OTU_1791	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	0	0	0
OTU_1878	0	2	1	0	0	0	0	1	0	3	2	0	0	1	1	0	0	0
OTU_2757	1	1	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_1789	1	0	1	1	0	0	1	1	0	2	10	21	0	0	1	1	0	0
OTU_632	0	1	0	0	2	1	3	1	0	0	0	0	5	12	13	3	3	6
OTU_1662	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0
OTU_564	0	0	1	0	2	1	1	23	0	0	0	0	0	0	0	0	0	0
OTU_753	0	3	0	4	9	1	3	1	1	3	3	1	0	1	2	2	1	0
OTU_2183	0	3	9	1	3	1	0	2	1	0	0	0	0	0	0	0	0	0
OTU_747	1	1	0	1	1	0	1	0	1	1	2	0	0	1	0	0	2	0
OTU_1138	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	1	2
OTU_2743	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
OTU_2055	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0
OTU_545	1	0	2	1	2	5	2	15	5	0	0	0	4	1	4	14	4	1
OTU_2434	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_1739	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_1108	1	3	0	1	0	0	0	1	2	2	0	0	1	0	1	4	0	0
OTU_1792	2	3	3	3	2	0	1	0	2	1	0	5	0	0	1	2	0	3
OTU_904	0	0	0	0	1	0	1	5	0	0	1	0	0	1	2	0	0	1
OTU_614	10	8	12	2	1	2	1	1	2	1	0	0	3	5	6	1	3	0
OTU_1109	1	0	1	0	0	0	0	1	1	0	1	1	1	0	1	1	2	1
OTU_2572	0	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0
OTU_1100	0	0	0	2	0	3	0	0	4	2	0	0	1	1	0	0	1	0
OTU_802	1	1	0	16	13	5	6	6	8	2	0	0	4	0	8	0	3	4
OTU_1932	9	5	7	2	0	1	9	1	5	0	0	0	8	9	8	13	10	19
OTU_1425	0	0	0	0	0	0	0	0	0	2	4	2	0	0	0	0	0	0
OTU_1238	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_603	0	0	0	0	0	2	1	2	0	21	14	17	0	0	0	0	0	3
OTU_1254	1	0	1	0	0	1	3	1	1	1	1	2	1	0	1	0	2	1
OTU_2635	0	0	0	2	0	0	3	0	0	0	0	0	3	0	0	0	0	0
OTU_905	2	0	1	1	0	2	1	0	1	0	3	5	3	3	3	2	1	1
OTU_549	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0
OTU_1105	1	0	1	0	0	0	0	0	1	1	2	1	3	3	1	2	1	1
OTU_1359	2	1	0	1	1	0	0	1	0	3	3	2	0	0	0	0	0	0
OTU_2277	0	0	0	1	0	0	0	0	4	0	0	0	0	0	1	2	0	1
OTU_1095	0	0	0	5	3	3	2	1	5	0	0	0	0	0	2	0	0	0
OTU_2368	0	0	2	1	0	0	0	0	0	0	0	0	2	4	0	0	0	0
OTU_1547	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
OTU_1494	3	2	2	0	1	0	3	2	3	4	2	2	0	1	1	0	2	1
OTU_2134	0	5	5	0	1	8	0	5	16	0	7	5	0	3	0	0	2	0
OTU_1668	1	0	3	2	3	2	4	2	6	0	0	0	5	5	6	0	9	8
OTU_2014	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
OTU_914	7	5	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_1194	0	1	0	0	0	1	0	7	0	1	0	0	0	0	0	0	0	0
OTU_1243	0	1	0	0	0	0	0	0	0	4	3	6	2	2	0	1	0	0
OTU_665	1	0	0	0	5	0	0	18	2	1	0	0	0	0	0	0	1	0
OTU_2371	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1989	1	2	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0
OTU_1299	2	2	1	1	3	1	1	0	2	1	3	0	5	3	4	4	2	2
OTU_2043	2	1	0	2	5	2	10	1	7	1	0	0	9	3	4	7	4	3
OTU_369	0	0	0	0	0	0	3	2	0	3	8	1	0	1	0	1	1	18
OTU_1244	3	0	0	0	0	1	0	11	1	0	0	0	0	0	0	0	0	0
OTU_1315	4	1	7	2	4	5	0	3	4	5	6	8	2	3	6	0	3	4
OTU_663	0	0	0	0	1	0	1	15	1	1	0	0	0	0	0	0	0	0
OTU_588	0	0	0	26	0	3	0	3	0	1	0	0	0	0	1	0	0	0
OTU_981	7	3	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0
OTU_2438	0	0	0	0	0	0	0	1	1	5	2	0	0	0	0	1	2	3
OTU_1153	4	9	4	0	0	0	0	0	0	14	7	13	0	0	0	0	0	0
OTU_1305	1	0	1	1	0	0	1	2	0	1	0	1	1	0	0	0	3	1
OTU_1046	0	0	0	2	7	0	4	2	0	0	0	1	0	0	0	0	0	0
OTU_1043	0	2	2	65	18	33	5	4	12	0	0	0	2	1	4	1	1	1
OTU_1173	0	2	0	0	0	0	2	2	1	0	0	0	0	0	1	3	4	2
OTU_2626	0	0	0	0	0	0	0	0	0	3	14	2	0	0	0	0	0	0
OTU_1378	1	1	1	0	0	0	1	0	0	1	1	2	0	0	1	0	0	0
OTU_1508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1538	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_911	0	0	0	0	0	0	0	0	0	2	4	5	0	0	0	0	0	0
OTU_842	0	0	0	0	0	0	0	0	0	7	10	3	0	0	0	0	0	0
OTU_2793	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_847	2	2	1	0	2	2	2	1	5	0	1	2	3	2	0	0	0	1
OTU_1732	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU_2646	2	2	6	0	0	0	0	1	0	5	6	20	0	0	0	0	0	0
OTU_573	0	0	0	0	1	0	1	6	1	0	0	0	0	0	0	0	0	0
OTU_2085	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1836	0	0	0	0	0	0	9	0	2	0	0	1	0	0	0	0	0	0
OTU_1134	2	4	5	0	2	0	0	0	0	2	5	3	0	0	0	0	0	1
OTU_435	1	4	2	2	1	2	1	3	37	3	0	3	0	0	0	1	0	0
OTU_2724	0	1	0	0	0	2	1	3	4	0	0	0	1	1	2	0	7	2
OTU_1646	0	2	6	1	3	1	2	4	10	1	0	0	1	0	0	1	0	0
OTU_1248	0	2	2	0	1	0	1	0	1	0	3	2	0	1	1	0	0	0
OTU_821	0	0	0	0	0	0	1	0	1	1	4	0	0	0	0	0	0	0
OTU_1757	1	0	1	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_584	0	0	1	16	1	1	12	5	8	0	0	0	1	0	0	0	0	0
OTU_729	5	16	7	0	2	0	2	0	1	0	0	0	0	0	0	4	0	0
OTU_2081	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
OTU_1291	0	0	0	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_2731	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_1256	6	6	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1487	0	0	0	0	0	0	1	1	1	1	0	1	0	0	1	1	1	1
OTU_2246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
OTU_2011	10	8	2	8	5	4	4	5	3	8	6	3	3	2	0	4	2	2
OTU_700	2	1	0	3	0	0	1	2	0	2	3	2	1	1	2	0	5	2
OTU_1688	1	1	2	2	1	1	0	0	2	2	1	0	2	0	0	2	1	2
OTU_593	0	3	0	4	5	4	4	2	1	2	6	0	1	1	1	3	2	2
OTU_1631	2	12	14	2	0	0	1	0	0	0	2	2	10	0	3	4	3	1
OTU_374	1	0	0	2	1	0	0	0	0	0	0	0	0	43	6	0	0	0
OTU_2138	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1294	1	3	2	1	0	2	0	2	4	9	1	7	2	0	1	1	3	2
OTU_2082	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1054	0	0	0	0	0	0	1	0	0	4	3	0	0	0	0	0	0	0
OTU_2444	0	0	0	0	0	0	0	1	2	0	0	0	3	0	0	0	0	1
OTU_954	1	6	0	1	0	2	2	0	1	1	2	0	3	2	2	5	2	1
OTU_531	11	9	1	1	1	2	2	0	0	4	4	8	1	3	0	2	3	1
OTU_1197	1	1	1	2	0	1	1	1	1	0	0	0	0	2	3	0	0	0
OTU_765	0	0	1	4	0	1	5	3	2	0	0	0	0	0	0	0	0	0
OTU_1998	0	1	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0
OTU_743	0	0	1	2	2	3	0	3	2	0	0	0	0	0	0	0	0	0
OTU_1137	0	0	1	0	1	1	1	0	2	2	0	3	1	0	0	0	0	1
OTU_527	0	0	0	8	9	12	2	2	12	0	1	0	0	0	1	0	0	0
OTU_595	8	8	2	0	3	0	0	1	5	1	0	1	0	1	0	0	0	0
OTU_974	0	0	0	4	0	0	0	0	1	0	0	4	0	0	0	0	0	1
OTU_537	10	12	11	14	10	4	12	9	11	15	12	11	7	8	3	11	9	7
OTU_685	0	0	0	0	0	1	1	0	0	7	17	9	0	0	2	1	0	0
OTU_877	0	0	0	0	0	0	0	0	0	10	4	3	0	0	0	0	0	0
OTU_2706	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1394	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3
OTU_563	0	1	0	0	1	0	0	0	0	1	1	0	0	1	0	8	13	21
OTU_1551	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_558	0	1	1	1	16	0	1	1	0	0	0	0	0	0	0	0	0	0
OTU_2024	0	0	0	0	0	1	0	0	0	0	0	0	2	0	6	3	0	0
OTU_2766	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1165	0	1	0	0	0	0	0	0	0	0	0	1	7	0	1	0	0	0
OTU_1523	3	2	1	1	3	2	3	1	2	2	1	0	1	1	1	1	1	1
OTU_1175	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	3	2	0
OTU_477	0	0	1	0	0	1	12	0	2	0	0	0	0	0	2	10	8	8
OTU_2785	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU_1869	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0
OTU_1453	1	0	0	0	0	0	2	0	0	2	5	3	0	0	1	0	1	0
OTU_916	2	4	2	1	2	1	4	2	5	2	2	2	3	3	0	2	4	0
OTU_634	0	0	0	2	0	1	0	21	0	0	0	0	0	0	0	0	0	0
OTU_921	0	2	0	0	0	1	0	0	0	2	1	1	5	3	5	3	2	3
OTU_2143	0	0	0	1	0	0	1	1	0	1	0	0	0	1	0	1	0	0
OTU_739	10	8	13	2	1	1	1	1	3	0	1	1	0	1	2	0	1	0
OTU_608	0	2	0	5	1	1	0	0	2	1	4	1	0	1	0	1	0	2
OTU_1461	1	4	2	0	0	1	2	0	0	1	1	0	0	0	0	0	0	1
OTU_2777	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0
OTU_1295	0	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0	0
OTU_401	0	0	2	0	0	1	15	3	44	0	0	3	0	1	0	1	0	0
OTU_1274	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU_2376	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0
OTU_873	6	0	1	3	1	0	0	0	0	0	1	0	0	0	1	0	0	2
OTU_1217	11	3	17	1	1	2	1	0	4	2	0	0	0	0	0	0	0	0
OTU_643	3	2	3	1	0	3	0	2	0	0	3	2	6	2	2	4	2	1
OTU_2449	0	0	0	0	0	1	2	1	0	1	1	1	0	0	0	0	0	0
OTU_1158	1	2	2	4	1	0	1	0	0	0	0	0	1	1	0	2	1	1
OTU_768	0	1	0	1	1	0	0	1	7	1	0	1	1	3	3	57	5	3
OTU_530	0	0	0	0	0	1	0	0	0	14	13	13	0	2	0	0	0	0
OTU_616	0	0	0	0	0	0	2	22	1	0	0	0	0	0	0	0	0	0
OTU_958	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	6
OTU_1782	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0
OTU_1073	1	2	3	2	2	2	1	4	0	2	1	2	0	0	0	0	1	5
OTU_2351	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_896	0	2	3	0	1	1	0	0	3	1	1	2	0	0	2	3	2	4
OTU_1664	0	0	0	7	1	0	0	1	3	0	1	1	0	1	0	1	2	3
OTU_1381	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_993	0	0	3	1	0	0	2	7	2	0	1	1	0	0	0	5	3	4
OTU_1802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1
OTU_2601	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1862	1	2	2	0	1	1	2	1	0	0	1	2	0	0	0	0	0	0
OTU_1198	0	3	1	1	1	0	0	1	2	0	2	1	0	2	0	1	1	2
OTU_986	12	4	20	4	4	4	11	1	10	2	1	5	0	0	1	1	4	2
OTU_1218	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_1343	0	0	0	1	0	1	4	2	2	0	0	0	0	0	1	0	0	0
OTU_1334	0	0	4	0	0	0	2	0	0	0	0	0	0	3	0	0	0	1
OTU_1089	1	1	3	2	0	0	0	0	0	0	1	1	1	0	0	0	0	0
OTU_1909	0	1	4	2	0	2	2	1	2	0	1	0	0	0	0	0	0	1
OTU_2651	0	0	0	0	0	1	0	0	0	0	2	3	0	0	2	1	0	1
OTU_1014	0	2	1	2	3	3	0	0	1	1	1	2	1	6	3	0	4	4
OTU_1221	1	0	2	0	0	0	0	1	1	0	0	0	0	12	1	0	2	4
OTU_1301	3	5	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
OTU_867	3	5	1	0	1	0	3	8	6	0	1	0	0	0	0	0	0	0
OTU_2358	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4
OTU_2012	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
OTU_2367	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0
OTU_713	2	15	9	1	0	0	0	0	0	1	3	2	0	1	1	0	0	1
OTU_1405	0	4	0	2	0	0	0	0	0	0	0	0	2	0	1	0	0	0
OTU_714	0	0	0	5	6	8	4	0	11	0	0	0	0	0	2	0	3	1
OTU_1395	0	0	0	0	2	0	1	0	1	0	1	1	0	2	0	0	0	0
OTU_1223	1	0	0	1	1	0	0	18	0	0	0	0	2	1	0	0	0	0
OTU_657	0	2	3	2	3	0	1	2	4	0	1	4	2	0	1	1	2	2
OTU_2161	2	0	0	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0
OTU_726	0	0	0	7	4	2	1	4	11	0	0	0	1	1	0	2	0	0
OTU_893	0	0	0	1	1	1	1	1	1	1	0	2	3	1	6	0	0	2
OTU_851	0	0	1	0	6	2	0	2	0	0	1	1	0	0	0	1	0	2
OTU_2775	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
OTU_1192	5	6	8	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0
OTU_1873	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0
OTU_1669	0	0	1	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2054	0	0	0	0	0	0	0	1	0	0	0	0	2	1	1	0	0	0
OTU_1116	3	1	3	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_2364	0	0	0	0	0	0	28	0	2	0	0	0	0	1	0	7	5	2
OTU_1702	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0
OTU_1905	1	0	1	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU_1863	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	1
OTU_578	1	3	0	0	0	0	0	0	0	9	10	1	0	0	0	1	0	0
OTU_2562	0	0	0	4	3	2	5	0	2	0	0	0	0	1	0	1	0	2
OTU_2016	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
OTU_1196	0	0	0	1	1	3	3	0	7	0	0	0	1	0	2	0	0	0
OTU_2781	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
OTU_2453	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_647	0	0	0	14	7	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_759	0	1	0	1	1	4	2	6	0	1	3	3	3	1	0	3	5	0
OTU_1342	0	1	2	0	1	0	1	0	3	0	0	2	2	0	1	0	2	1
OTU_1312	1	1	0	0	0	0	1	10	2	0	0	0	0	0	0	0	0	0
OTU_1601	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_720	0	0	0	0	0	0	0	0	0	8	13	3	0	1	0	0	0	0
OTU_1956	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0
OTU_635	1	7	4	6	2	1	7	4	1	4	4	7	3	2	3	3	2	4
OTU_513	0	0	0	1	0	0	1	19	8	1	1	0	0	0	0	0	0	1
OTU_655	5	2	4	3	0	2	0	0	2	10	11	6	1	1	1	3	2	3
OTU_1338	0	4	0	1	0	0	0	0	0	9	4	1	0	0	0	0	0	0
OTU_1926	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2
OTU_721	4	3	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_2797	0	0	0	0	0	0	0	0	0	6	9	2	0	0	0	0	0	0
OTU_777	0	0	0	6	2	0	3	7	0	0	0	0	0	0	0	0	1	0
OTU_1598	0	0	4	1	1	0	3	1	0	0	1	1	1	1	0	0	0	0
OTU_1649	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2801	1	0	2	0	1	1	0	0	1	8	10	7	1	0	0	0	0	1
OTU_1485	0	0	0	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0
OTU_293	3	1	1	5	0	6	6	41	38	1	1	0	0	0	1	0	0	1
OTU_1199	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
OTU_672	0	3	2	4	6	6	6	3	1	2	4	2	0	2	7	4	2	5
OTU_1578	0	0	0	0	0	0	0	0	0	6	3	1	0	0	0	0	0	0
OTU_2699	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0
OTU_2502	0	1	0	1	0	0	0	0	1	2	1	1	0	0	0	0	0	0
OTU_2696	0	0	0	11	6	5	6	1	2	13	6	8	1	0	0	0	0	1
OTU_894	5	5	5	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU_2593	0	1	0	0	0	0	0	0	0	1	4	2	0	0	0	0	0	0
OTU_1617	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0
OTU_2236	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU_1476	0	0	0	5	1	4	38	4	2	1	0	0	0	1	0	6	2	1
OTU_2189	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1036	0	1	0	0	1	0	1	1	2	0	1	0	3	0	2	0	1	1
OTU_2534	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0	1
OTU_1205	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_2265	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0
OTU_2387	3	2	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
OTU_2553	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0
OTU_2258	1	0	1	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0
OTU_1972	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	1	0	0
OTU_1225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
OTU_967	1	19	16	0	8	2	0	3	5	2	16	7	0	1	2	0	1	0
OTU_1948	0	2	1	1	0	0	3	0	0	2	1	1	0	0	0	0	0	0
OTU_454	2	2	2	7	3	5	6	1	7	5	2	3	3	2	4	10	2	2
OTU_829	0	0	0	0	6	0	0	3	2	0	0	0	0	0	0	0	1	0
OTU_621	0	0	0	0	0	1	0	0	1	1	2	1	1	0	0	9	5	1
OTU_2152	0	0	0	0	0	0	2	2	2	0	0	0	0	1	0	0	0	0
OTU_1707	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
OTU_2174	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1603	1	0	0	0	1	0	0	0	0	5	6	3	0	0	0	0	0	0
OTU_1241	2	0	0	1	0	3	1	5	0	0	0	0	0	1	0	0	0	1
OTU_1178	3	9	6	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0
OTU_2008	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0
OTU_983	7	1	3	0	2	1	1	1	0	4	0	0	0	0	0	0	0	1
OTU_1865	0	5	1	0	1	1	0	1	3	0	0	0	0	0	1	0	1	0
OTU_1983	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0
OTU_2013	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0
OTU_1979	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
OTU_610	0	0	0	3	0	6	11	3	11	0	0	0	0	0	0	0	0	0
OTU_2543	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1821	0	0	0	1	0	1	1	0	2	0	2	0	0	1	0	0	0	0
