$index.pair
    name1 name2 D.ij.ruzicka G.ij.ruzicka Ds.ij.ruzicka Gs.ij.ruzicka C.ij.ruzicka
75  N3_40 E3_40    0.6460551    0.3981374     0.6460551     0.3981374    0.3539449
76  N2_40 E2_60    0.7093784    0.4686315     0.7093784     0.4686315    0.2906216
77   E3_0 E2_60    0.8658700    0.4779571     0.8658700     0.4779571    0.1341300
78  E2_40 E2_60    0.6815281    0.4930048     0.6815281     0.4930048    0.3184719
79  E1_40 E2_60    0.7117991    0.5099170     0.7117991     0.5099170    0.2882009
80  N3_60 E2_60    0.7339861    0.4341950     0.7339861     0.4341950    0.2660139
81  N1_60 E2_60    0.6740935    0.4362335     0.6740935     0.4362335    0.3259065
82   N1_0 E2_60    0.8952240    0.4369733     0.8952240     0.4369733    0.1047760
83  N2_60 E2_60    0.8939231    0.4426998     0.8939231     0.4426998    0.1060769
84  E1_60 E2_60    0.4320081    0.4699806     0.4320081     0.4699806    0.5679919
85   E2_0 E2_60    0.8833395    0.4745076     0.8833395     0.4745076    0.1166605
86   N3_0 E2_60    0.8828011    0.4554437     0.8828011     0.4554437    0.1171989
87  N3_40 E2_60    0.7844056    0.4414683     0.7844056     0.4414683    0.2155944
88   E3_0 N2_40    0.8948587    0.3822004     0.8948587     0.3822004    0.1051413
89  E2_40 N2_40    0.6124867    0.4775931     0.6124867     0.4775931    0.3875133
90  E1_40 N2_40    0.6870074    0.4512700     0.6870074     0.4512700    0.3129926
91  N3_60 N2_40    0.7478707    0.3692655     0.7478707     0.3692655    0.2521293
92  N1_60 N2_40    0.7275710    0.3541065     0.7275710     0.3541065    0.2724290
93   N1_0 N2_40    0.8818953    0.3550435     0.8818953     0.3550435    0.1181047
94  N2_60 N2_40    0.8116071    0.4040448     0.8116071     0.4040448    0.1883929
95  E1_60 N2_40    0.7130584    0.4556286     0.7130584     0.4556286    0.2869416
96   E2_0 N2_40    0.8912059    0.3839815     0.8912059     0.3839815    0.1087941
97   N3_0 N2_40    0.8701984    0.3199438     0.8701984     0.3199438    0.1298016
98  N3_40 N2_40    0.4218834    0.3491609     0.4218834     0.3491609    0.5781166
99  E2_40  E3_0    0.8931199    0.4987355     0.8931199     0.4987355    0.1068801
100 E1_40  E3_0    0.9110302    0.4871810     0.9110302     0.4871810    0.0889698
101 N3_60  E3_0    0.8684990    0.4034839     0.8684990     0.4034839    0.1315010
102 N1_60  E3_0    0.8703013    0.3695725     0.8703013     0.3695725    0.1296987
103  N1_0  E3_0    0.7617806    0.4096599     0.7617806     0.4096599    0.2382194
104 N2_60  E3_0    0.9259060    0.4318372     0.9259060     0.4318372    0.0740940
105 E1_60  E3_0    0.8892639    0.4546806     0.8892639     0.4546806    0.1107361
106  E2_0  E3_0    0.2695360    0.4372800     0.2695360     0.4372800    0.7304640
107  N3_0  E3_0    0.7160917    0.3777951     0.7160917     0.3777951    0.2839083
108 N3_40  E3_0    0.8753463    0.4001510     0.8753463     0.4001510    0.1246537
109 E1_40 E2_40    0.4098974    0.5031616     0.4098974     0.5031616    0.5901026
110 N3_60 E2_40    0.8311517    0.4454242     0.8311517     0.4454242    0.1688483
111 N1_60 E2_40    0.8233478    0.4752870     0.8233478     0.4752870    0.1766522
112  N1_0 E2_40    0.9088489    0.4492303     0.9088489     0.4492303    0.0911511
113 N2_60 E2_40    0.9077515    0.4765399     0.9077515     0.4765399    0.0922485
114 E1_60 E2_40    0.6238596    0.5044169     0.6238596     0.5044169    0.3761404
115  E2_0 E2_40    0.8935428    0.4617247     0.8935428     0.4617247    0.1064572
116  N3_0 E2_40    0.8998753    0.4814574     0.8998753     0.4814574    0.1001247
117 N3_40 E2_40    0.7234955    0.4515246     0.7234955     0.4515246    0.2765045
118 N3_60 E1_40    0.8565337    0.4690645     0.8565337     0.4690645    0.1434663
119 N1_60 E1_40    0.8482270    0.4553817     0.8482270     0.4553817    0.1517730
120  N1_0 E1_40    0.9213790    0.4815178     0.9213790     0.4815178    0.0786210
121 N2_60 E1_40    0.9096294    0.4763894     0.9096294     0.4763894    0.0903706
122 E1_60 E1_40    0.6320712    0.4972148     0.6320712     0.4972148    0.3679288
123  E2_0 E1_40    0.9084033    0.4613531     0.9084033     0.4613531    0.0915967
124  N3_0 E1_40    0.9094583    0.4656703     0.9094583     0.4656703    0.0905417
125 N3_40 E1_40    0.7890900    0.4458565     0.7890900     0.4458565    0.2109100
126 N1_60 N3_60    0.5083268    0.3507807     0.5083268     0.3507807    0.4916732
127  N1_0 N3_60    0.8604406    0.3533998     0.8604406     0.3533998    0.1395594
128 N2_60 N3_60    0.8232442    0.3804422     0.8232442     0.3804422    0.1767558
129 E1_60 N3_60    0.8172450    0.4599835     0.8172450     0.4599835    0.1827550
130  E2_0 N3_60    0.8855882    0.4005616     0.8855882     0.4005616    0.1144118
131  N3_0 N3_60    0.8418864    0.3568984     0.8418864     0.3568984    0.1581136
132 N3_40 N3_60    0.6826776    0.3470635     0.6826776     0.3470635    0.3173224
133  N1_0 N1_60    0.8578415    0.3666667     0.8578415     0.3666667    0.1421585
134 N2_60 N1_60    0.8193986    0.3769151     0.8193986     0.3769151    0.1806014
135 E1_60 N1_60    0.7448318    0.4528911     0.7448318     0.4528911    0.2551682
136  E2_0 N1_60    0.8825281    0.4031991     0.8825281     0.4031991    0.1174719
137  N3_0 N1_60    0.8469659    0.3448607     0.8469659     0.3448607    0.1530341
138 N3_40 N1_60    0.6830769    0.3670980     0.6830769     0.3670980    0.3169231
139 N2_60  N1_0    0.9135290    0.3700964     0.9135290     0.3700964    0.0864710
140 E1_60  N1_0    0.8864238    0.4368055     0.8864238     0.4368055    0.1135762
141  E2_0  N1_0    0.7593849    0.3855091     0.7593849     0.3855091    0.2406151
142  N3_0  N1_0    0.3197672    0.3442930     0.3197672     0.3442930    0.6802328
143 N3_40  N1_0    0.8658034    0.3508420     0.8658034     0.3508420    0.1341966
144 E1_60 N2_60    0.9040246    0.4609410     0.9040246     0.4609410    0.0959754
145  E2_0 N2_60    0.9264236    0.4326871     0.9264236     0.4326871    0.0735764
146  N3_0 N2_60    0.9049708    0.3990369     0.9049708     0.3990369    0.0950292
147 N3_40 N2_60    0.8132141    0.3991934     0.8132141     0.3991934    0.1867859
148  E2_0 E1_60    0.8877282    0.4725982     0.8877282     0.4725982    0.1122718
149  N3_0 E1_60    0.8835404    0.4325015     0.8835404     0.4325015    0.1164596
150 N3_40 E1_60    0.8103786    0.4581222     0.8103786     0.4581222    0.1896214
151  N3_0  E2_0    0.7166322    0.3713209     0.7166322     0.3713209    0.2833678
152 N3_40  E2_0    0.8850448    0.3928937     0.8850448     0.3928937    0.1149552
153 N3_40  N3_0    0.8515838    0.3400758     0.8515838     0.3400758    0.1484162
    E.ij.ruzicka ST.ij.ruzicka MST.ij.ruzicka        SES.ruzicka RC.ruzicka
1      0.5796835     0.5053644     0.14671440   5.28252323359477          1
2      0.6567606     0.3949085     0.07867275   5.32498464748109          1
3      0.6949724     0.3668655     0.08897899   6.41844255849837          1
4      0.6058253     0.5548530     0.26522220   3.09972183479585          1
5      0.5589103     0.5303559     0.15971484   3.48605905467664          1
6      0.6880771     0.6857353     0.54327112   1.56755467584153        0.9
7      0.6116240     0.4370950     0.07965508   4.18787086874453          1
8      0.5488468     0.5845393     0.24302961   3.14166192926231          1
9      0.5239772     0.5824496     0.20311344   3.13809314230858          1
10     0.6629240     0.4772851     0.21150102     3.567503840077          1
11     0.6615915     0.5021860     0.24755073   3.00565151969906          1
12     0.6954890     0.3525972     0.06914021   6.05840593662611          1
13     0.6424980     0.4703672     0.17566617   3.93074858654693          1
14     0.5510710     0.5371930     0.16016809   4.13262798580315          1
15     0.6112487     0.4387912     0.08186502   5.20261970609298          1
16     0.6800609     0.3750912     0.08109878   6.29898825017068          1
17     0.6537060     0.8131138     0.71411283  0.932644292962809        0.5
18     0.5554930     0.5062406     0.11113301   4.56824772455589          1
19     0.5622969     0.5053254     0.12026074   5.14929110696006          1
20     0.5313774     0.5746021     0.19944308   3.85884569613308          1
21     0.5387086     0.6251935     0.18748427  -3.32416154929814         -1
22     0.5801941     0.5904235     0.29406981   4.12804943841096          1
23     0.5631760     0.5032376     0.11792695   4.66408079454087          1
24     0.5045297     0.7440052     0.49260704   1.71465388888316          1
25     0.5121273     0.7042788     0.42256309   2.21834304444952          1
26     0.5603086     0.5919035     0.27165754   3.66551869708182          1
27     0.5720241     0.6352248     0.36230798   3.44982689610908          1
28     0.5770529     0.4719710     0.08495567   4.80069779797655          1
29     0.5639874     0.4876865     0.09162243   5.08855529259795          1
30     0.5086071     0.8314732     0.65704266  -1.07402875282936       -0.8
31     0.5630170     0.4946099     0.10235374   5.92120947672423          1
32     0.5892568     0.4639469     0.09028950   5.51088388422301          1
33     0.5780731     0.5342723     0.19434461   3.97250152737582          1
34     0.6315742     0.5003016     0.20880499   3.84483922995323          1
35     0.5773144     0.4787888     0.09717967   4.18559101485986          1
36     0.5320564     0.5327959     0.12188988    3.9508018938521          1
37     0.6134875     0.4409019     0.08865622   4.59598861083511          1
38     0.5995418     0.9682241     0.92065105  -0.17812181863094          0
