$index.pair
    name1 name2 D.ij.ruzicka G.ij.ruzicka Ds.ij.ruzicka Gs.ij.ruzicka C.ij.ruzicka
17   N_40.vs.E_0 N3_40  E3_0    0.1246537    0.5998490     0.4571345     0.12975426
18   N_40.vs.E_0 N3_40  E2_0    0.1149552    0.6071063     0.4439252     0.10638789
19   N_40.vs.N_0  N2_0 N1_40    0.1685575    0.6949724     0.3668655     0.06169449
20   N_40.vs.N_0  N1_0 N1_40    0.1363773    0.6954890     0.3525972     0.03842109
21   N_40.vs.N_0  N3_0 N1_40    0.1470365    0.6800609     0.3750912     0.07511160
22   N_40.vs.N_0 N2_40  N2_0    0.1524605    0.6896403     0.3661891     0.06059108
23   N_40.vs.N_0 N3_40  N2_0    0.1678506    0.6443628     0.4273718     0.16038756
24   N_40.vs.N_0  N1_0 N2_40    0.1181047    0.6449565     0.4025915     0.11996780
25   N_40.vs.N_0  N3_0 N2_40    0.1298016    0.6800562     0.3676677     0.06300290
26   N_40.vs.N_0 N3_40  N1_0    0.1341966    0.6491580     0.4052213     0.12425745
27   N_40.vs.N_0 N3_40  N3_0    0.1484162    0.6599242     0.3993451     0.11467258
28  N_40.vs.E_40 E3_40 N1_40    0.2895872    0.6058253     0.5548530     0.24511804
29  N_40.vs.E_40 E2_40 N1_40    0.2281900    0.5488468     0.5845393     0.30707228
30  N_40.vs.E_40 E1_40 N1_40    0.1827228    0.5239772     0.5824496     0.30271120
31  N_40.vs.E_40 N2_40 E3_40    0.3219524    0.6091218     0.5764761     0.29024472
32  N_40.vs.E_40 N3_40 E3_40    0.3539449    0.6018626     0.6162593     0.37327087
33  N_40.vs.E_40 E2_40 N2_40    0.3875133    0.5224069     0.7797608     0.71449321
34  N_40.vs.E_40 E1_40 N2_40    0.3129926    0.5487300     0.6568634     0.45801029
35  N_40.vs.E_40 N3_40 E2_40    0.2765045    0.5484754     0.6240876     0.38960838
36  N_40.vs.E_40 N3_40 E1_40    0.2109100    0.5541435     0.5650262     0.26634918
37  N_40.vs.N_60 N3_60 N1_40    0.2937638    0.6629240     0.4772851     0.20679532
38  N_40.vs.N_60 N1_60 N1_40    0.3261291    0.6615915     0.5021860     0.25215060
39  N_40.vs.N_60 N2_60 N1_40    0.2399512    0.6424980     0.4703672     0.19419467
40  N_40.vs.N_60 N3_60 N2_40    0.2521293    0.6307345     0.4937558     0.23679565
41  N_40.vs.N_60 N1_60 N2_40    0.2724290    0.6458935     0.4866969     0.22393821
42  N_40.vs.N_60 N2_60 N2_40    0.1883929    0.5959552     0.4978330     0.24422195
43  N_40.vs.N_60 N3_40 N3_60    0.3173224    0.6529365     0.5083857     0.26344299
44  N_40.vs.N_60 N3_40 N1_60    0.3169231    0.6329020     0.5374182     0.31632389
45  N_40.vs.N_60 N3_40 N2_60    0.1867859    0.6008066     0.4908835     0.23156383
46   E_60.vs.E_0  E1_0 E3_60    0.1219452    0.5554930     0.5062406     0.09640311
47   E_60.vs.E_0  E3_0 E3_60    0.1319727    0.5631760     0.5032376     0.09025603
48   E_60.vs.E_0  E2_0 E3_60    0.1165098    0.5630170     0.4946099     0.07259504
49   E_60.vs.E_0 E2_60  E1_0    0.1217207    0.5320564     0.5327959     0.15076178
50   E_60.vs.E_0 E1_60  E1_0    0.1272437    0.5336893     0.5342966     0.15383365
51   E_60.vs.E_0  E3_0 E2_60    0.1341300    0.5220429     0.5519964     0.19006515
52   E_60.vs.E_0  E2_0 E2_60    0.1166605    0.5254924     0.5371747     0.15972514
53   E_60.vs.E_0 E1_60  E3_0    0.1107361    0.5453194     0.5113000     0.10675970
54   E_60.vs.E_0  E2_0 E1_60    0.1122718    0.5274018     0.5323681     0.14988618
55   E_60.vs.N_0  N2_0 E3_60    0.1338192    0.5622969     0.5053254     0.14243972
56   E_60.vs.N_0  N1_0 E3_60    0.1038706    0.5770529     0.4719710     0.07394906
57   E_60.vs.N_0  N3_0 E3_60    0.1146763    0.5892568     0.4639469     0.05747205
58   E_60.vs.N_0 E2_60  N2_0    0.1343892    0.5380956     0.5336167     0.20053378
59   E_60.vs.N_0 E1_60  N2_0    0.1330356    0.5713955     0.4943738     0.11995153
60   E_60.vs.N_0  N1_0 E2_60    0.1047760    0.5630267     0.4881162     0.10710188
61   E_60.vs.N_0  N3_0 E2_60    0.1171989    0.5445563     0.5159074     0.16416917
62   E_60.vs.N_0 E1_60  N1_0    0.1135762    0.5631945     0.4927728     0.11666387
63   E_60.vs.N_0  N3_0 E1_60    0.1164596    0.5674985     0.4895096     0.10996312
64  E_60.vs.E_40 E3_40 E3_60    0.1844399    0.5313774     0.5746021     0.18497981
65  E_60.vs.E_40 E2_40 E3_60    0.3340499    0.5045297     0.7440052     0.56822712
66  E_60.vs.E_40 E1_40 E3_60    0.3072733    0.5121273     0.7042788     0.47835254
67  E_60.vs.E_40 E2_60 E3_40    0.1880029    0.5117125     0.6013415     0.24547328
68  E_60.vs.E_40 E1_60 E3_40    0.1807137    0.5092713     0.5989710     0.24011041
69  E_60.vs.E_40 E2_40 E2_60    0.3184719    0.5069952     0.7233815     0.52156920
70  E_60.vs.E_40 E1_40 E2_60    0.2882009    0.4900830     0.7163778     0.50572446
71  E_60.vs.E_40 E1_60 E2_40    0.3761404    0.4955831     0.8085424     0.71423221
72  E_60.vs.E_40 E1_60 E1_40    0.3679288    0.5027852     0.7866437     0.66468995
73  E_60.vs.N_60 N3_60 E3_60    0.2571569    0.5603086     0.5919035     0.29930617
74  E_60.vs.N_60 N1_60 E3_60    0.3262607    0.5720241     0.6352248     0.38662119
75  E_60.vs.N_60 N2_60 E3_60    0.1059572    0.5639874     0.4876865     0.08925496
76  E_60.vs.N_60 N3_60 E2_60    0.2660139    0.5658050     0.5915575     0.29860889
77  E_60.vs.N_60 N1_60 E2_60    0.3259065    0.5637665     0.6471409     0.41063835
78  E_60.vs.N_60 N2_60 E2_60    0.1060769    0.5573002     0.4952325     0.10446405
79  E_60.vs.N_60 E1_60 N3_60    0.1827550    0.5400165     0.5628465     0.24074143
80  E_60.vs.N_60 E1_60 N1_60    0.2551682    0.5471089     0.6080448     0.33183941
81  E_60.vs.N_60 E1_60 N2_60    0.0959754    0.5390590     0.5098766     0.13397957
82    E_0.vs.N_0  N2_0  E1_0    0.2635927    0.6315742     0.5003016     0.22605922
83    E_0.vs.N_0  N1_0  E1_0    0.2694544    0.6415501     0.4906605     0.20836081
84    E_0.vs.N_0  N3_0  E1_0    0.3030776    0.6395970     0.5171350     0.25696075
85    E_0.vs.N_0  E3_0  N2_0    0.2771331    0.6302113     0.5115584     0.24672362
86    E_0.vs.N_0  E2_0  N2_0    0.2988116    0.6069381     0.5605654     0.33668679
87    E_0.vs.N_0  N1_0  E3_0    0.2382194    0.5903401     0.5377663     0.29483397
88    E_0.vs.N_0  N3_0  E3_0    0.2839083    0.6222049     0.5275792     0.27613340
89    E_0.vs.N_0  E2_0  N1_0    0.2406151    0.6144909     0.5076596     0.23956650
90    E_0.vs.N_0  N3_0  E2_0    0.2833678    0.6286791     0.5181472     0.25881870
91   E_0.vs.E_40 E3_40  E1_0    0.1171774    0.5773144     0.4787888     0.05019958
92   E_0.vs.E_40 E2_40  E1_0    0.1175222    0.5565147     0.5025455     0.10305580
93   E_0.vs.E_40 E1_40  E1_0    0.1105515    0.5268302     0.5319811     0.16854688
94   E_0.vs.E_40  E3_0 E3_40    0.1016801    0.5631891     0.4862531     0.06680694
95   E_0.vs.E_40  E2_0 E3_40    0.1026378    0.5791108     0.4690293     0.02848580
96   E_0.vs.E_40 E2_40  E3_0    0.1068801    0.5012645     0.5584194     0.22736918
97   E_0.vs.E_40 E1_40  E3_0    0.0889698    0.5128190     0.5347584     0.17472591
98   E_0.vs.E_40  E2_0 E2_40    0.1064572    0.5382753     0.5167348     0.13462535
99   E_0.vs.E_40  E2_0 E1_40    0.0915967    0.5386469     0.5078725     0.11490775
100  E_0.vs.N_60 N3_60  E1_0    0.1223655    0.6049048     0.4501819     0.08669678
101  E_0.vs.N_60 N1_60  E1_0    0.1249231    0.6095268     0.4462158     0.07932743
102  E_0.vs.N_60 N2_60  E1_0    0.0707582    0.5952006     0.4356233     0.05964539
103  E_0.vs.N_60 N3_60  E3_0    0.1315010    0.5965161     0.4645761     0.11344280
104  E_0.vs.N_60 N1_60  E3_0    0.1296987    0.6304275     0.4246489     0.03925371
105  E_0.vs.N_60 N2_60  E3_0    0.0740940    0.5681628     0.4663942     0.11682092
106  E_0.vs.N_60  E2_0 N3_60    0.1144118    0.5994384     0.4523114     0.09065364
107  E_0.vs.N_60  E2_0 N1_60    0.1174719    0.5968009     0.4568682     0.09912072
108  E_0.vs.N_60  E2_0 N2_60    0.0735764    0.5673129     0.4670510     0.11804145
109  N_0.vs.E_40 E3_40  N2_0    0.1300661    0.6040106     0.4551948     0.01557280
110  N_0.vs.E_40 E2_40  N2_0    0.1186661    0.5434253     0.5180496     0.15123894
111  N_0.vs.E_40 E1_40  N2_0    0.1062741    0.5181897     0.5391030     0.19668051
112  N_0.vs.E_40  N1_0 E3_40    0.1003407    0.5825451     0.4640144     0.03460918
113  N_0.vs.E_40  N3_0 E3_40    0.1123074    0.5978869     0.4529869     0.01080730
114  N_0.vs.E_40  N1_0 E2_40    0.0911511    0.5507697     0.4942849     0.09994499
115  N_0.vs.E_40  N3_0 E2_40    0.1001247    0.5185426     0.5350268     0.18788247
116  N_0.vs.E_40  N1_0 E1_40    0.0786210    0.5184822     0.5226056     0.16107255
117  N_0.vs.E_40  N3_0 E1_40    0.0905417    0.5343297     0.5120304     0.13824696
118  N_0.vs.N_60 N3_60  N2_0    0.1797037    0.6334315     0.4468733     0.14905618
119  N_0.vs.N_60 N1_60  N2_0    0.1766522    0.6450259     0.4311351     0.12005824
120  N_0.vs.N_60 N2_60  N2_0    0.0987057    0.6187256     0.4230298     0.10512420
121  N_0.vs.N_60  N1_0 N3_60    0.1395594    0.6466002     0.4107196     0.08244242
122  N_0.vs.N_60  N3_0 N3_60    0.1581136    0.6431016     0.4239271     0.10677737
123  N_0.vs.N_60  N1_0 N1_60    0.1421585    0.6333333     0.4274294     0.11323050
124  N_0.vs.N_60  N3_0 N1_60    0.1530341    0.6551393     0.4071719     0.07590577
125  N_0.vs.N_60 N2_60  N1_0    0.0864710    0.6299036     0.4051282     0.07214026
126  N_0.vs.N_60  N3_0 N2_60    0.0950292    0.6009631     0.4409390     0.13812207
127 E_40.vs.N_60 N3_60 E3_40    0.1876700    0.5789965     0.5182666     0.14745538
128 E_40.vs.N_60 N1_60 E3_40    0.1969389    0.5869313     0.5143677     0.13904327
129 E_40.vs.N_60 N2_60 E3_40    0.1062811    0.5828551     0.4667517     0.03630960
130 E_40.vs.N_60 N3_60 E2_40    0.1688483    0.5545758     0.5359121     0.18552624
131 E_40.vs.N_60 N1_60 E2_40    0.1766522    0.5247130     0.5772615     0.27473967
132 E_40.vs.N_60 N2_60 E2_40    0.0922485    0.5234601     0.5249674     0.16191254
133 E_40.vs.N_60 N3_60 E1_40    0.1434663    0.5309355     0.5476311     0.21081058
134 E_40.vs.N_60 N1_60 E1_40    0.1517730    0.5446183     0.5368630     0.18757785
135 E_40.vs.N_60 N2_60 E1_40    0.0903706    0.5236106     0.5237181     0.15921722
    MST.ij.ruzicka
1       0.14671440
2       0.15971484
3       0.16016809
4       0.29406981
5       0.19434461
6       0.36131461
7       0.21724438
8       0.33680930
9       0.19782415
10      0.07867275
11      0.07965508
12      0.08186502
13      0.08865622
14      0.09109884
15      0.07268794
16      0.07609286
17      0.09499641
18      0.08405696
19      0.08897899
20      0.06914021
21      0.08109878
22      0.08095433
23      0.11132643
24      0.07372272
25      0.07017635
26      0.08376902
27      0.08981226
28      0.26522220
29      0.24302961
30      0.20311344
31      0.30469747
32      0.36241135
33      0.57841448
34      0.37467128
35      0.31462309
36      0.21505202
37      0.21150102
38      0.24755073
39      0.17566617
40      0.19737356
41      0.20528206
42      0.15737459
43      0.24707176
44      0.26910997
45      0.15261168
46      0.11113301
47      0.11792695
48      0.10235374
49      0.12188988
50      0.12738848
51      0.14182603
52      0.11925399
53      0.10382790
54      0.11332902
55      0.12026074
56      0.08495567
57      0.09028950
58      0.13327059
59      0.11510297
60      0.09083558
61      0.11103311
62      0.09937466
63      0.10045504
64      0.19944308
65      0.49260704
66      0.42256309
67      0.22093254
68      0.21254340
69      0.45439614
70      0.42127708
71      0.61367206
72      0.57565122
73      0.27165754
74      0.36230798
75      0.09162243
76      0.27812146
77      0.37410423
78      0.09426289
79      0.19048126
80      0.28358835
81      0.09077970
82      0.20880499
83      0.20607997
84      0.24504813
85      0.22495592
86      0.27598109
87      0.21700433
88      0.24073119
89      0.19878336
90      0.23354717
91      0.09717967
92      0.10612524
93      0.11163240
94      0.08778981
95      0.08312768
96      0.11906672
97      0.09277610
98      0.10219702
99      0.08636352
100     0.09106677
101     0.09145236
102     0.05178745
103     0.10241505
104     0.08736358
105     0.06082237
106     0.08633041
107     0.08992811
108     0.06057316
109     0.09802047
110     0.11312490
111     0.11056315
112     0.07992434
113     0.08508930
114     0.08180299
115     0.10330761
116     0.07924627
117     0.08676310
118     0.12677739
119     0.11807427
120     0.06748622
121     0.08864795
122     0.10422714
123     0.09594115
124     0.09511136
125     0.05561461
126     0.06972487
127     0.16798565
128     0.17259091
129     0.08511015
130     0.16316587
131     0.19434342
132     0.09251413
133     0.14797768
134     0.14961175
135     0.09038916

$details
$details$rand.mean
  [1] 0.4203165 0.3432394 0.3050276 0.3941747 0.4410897 0.3119229 0.3883760 0.4511532
  [9] 0.4760228 0.3370760 0.3384085 0.3045110 0.3575020 0.4489290 0.3887513 0.3199391
 [17] 0.3462940 0.4445070 0.4377031 0.4686226 0.4612914 0.4198059 0.4368240 0.4954703
 [25] 0.4878727 0.4396914 0.4279759 0.4229471 0.4360126 0.4913929 0.4369830 0.4107432
 [33] 0.4219269 0.3684258 0.4226856 0.4679436 0.3865125 0.4004582 0.4434853 0.4731698
 [41] 0.3950952 0.3904732 0.3584499 0.4047994 0.4663107 0.3967196 0.3604030 0.3879402
 [49] 0.3959894 0.4619044 0.3103597 0.3697887 0.4565747 0.4818103 0.3665685 0.3549741
 [57] 0.3363498 0.3812744 0.4286045 0.3930619 0.3232432 0.3556372 0.4882875 0.3908782
 [65] 0.4368109 0.4929365 0.4772815 0.4210035 0.4130687 0.4174549 0.4171449 0.4907287
 [73] 0.4208892 0.4021131 0.3981374 0.4686315 0.4779571 0.4930048 0.5099170 0.4341950
 [81] 0.4362335 0.4369733 0.4426998 0.4699806 0.4745076 0.4554437 0.4414683 0.3822004
 [89] 0.4775931 0.4512700 0.3692655 0.3541065 0.3550435 0.4040448 0.4556286 0.3839815
 [97] 0.3199438 0.3491609 0.4987355 0.4871810 0.4034839 0.3695725 0.4096599 0.4318372
[105] 0.4546806 0.4372800 0.3777951 0.4001510 0.5031616 0.4454242 0.4752870 0.4492303
[113] 0.4765399 0.5044169 0.4617247 0.4814574 0.4515246 0.4690645 0.4553817 0.4815178
[121] 0.4763894 0.4972148 0.4613531 0.4656703 0.4458565 0.3507807 0.3533998 0.3804422
[129] 0.4599835 0.4005616 0.3568984 0.3470635 0.3666667 0.3769151 0.4528911 0.4031991
[137] 0.3448607 0.3670980 0.3700964 0.4368055 0.3855091 0.3442930 0.3508420 0.4609410
[145] 0.4326871 0.3990369 0.3991934 0.4725982 0.4325015 0.4581222 0.3713209 0.3928937
[153] 0.3400758

$details$Dmax
[1] 1

$details$obs3
       name1   name2   ruzicka    
  [1,] "E3_60" "N1_40" "0.8317097"
  [2,] "E1_0"  "N1_40" "0.8691617"
  [3,] "N2_0"  "N1_40" "0.8314425"
  [4,] "E3_40" "N1_40" "0.7104128"
  [5,] "E2_60" "N1_40" "0.8316861"
  [6,] "N2_40" "N1_40" "0.4548736"
  [7,] "E3_0"  "N1_40" "0.8885392"
  [8,] "E2_40" "N1_40" "0.7718100"
  [9,] "E1_40" "N1_40" "0.8172772"
 [10,] "N3_60" "N1_40" "0.7062362"
 [11,] "N1_60" "N1_40" "0.6738709"
 [12,] "N1_0"  "N1_40" "0.8636227"
 [13,] "N2_60" "N1_40" "0.7600488"
 [14,] "E1_60" "N1_40" "0.8356941"
 [15,] "E2_0"  "N1_40" "0.8859597"
 [16,] "N3_0"  "N1_40" "0.8529635"
 [17,] "N3_40" "N1_40" "0.4258862"
 [18,] "E1_0"  "E3_60" "0.8780548"
 [19,] "N2_0"  "E3_60" "0.8661808"
 [20,] "E3_40" "E3_60" "0.8155601"
 [21,] "E2_60" "E3_60" "0.1383330"
 [22,] "N2_40" "E3_60" "0.7110251"
 [23,] "E3_0"  "E3_60" "0.8680273"
 [24,] "E2_40" "E3_60" "0.6659501"
 [25,] "E1_40" "E3_60" "0.6927267"
 [26,] "N3_60" "E3_60" "0.7428431"
 [27,] "N1_60" "E3_60" "0.6737393"
 [28,] "N1_0"  "E3_60" "0.8961294"
 [29,] "N2_60" "E3_60" "0.8940428"
 [30,] "E1_60" "E3_60" "0.3883061"
 [31,] "E2_0"  "E3_60" "0.8834902"
 [32,] "N3_0"  "E3_60" "0.8853237"
 [33,] "N3_40" "E3_60" "0.7897226"
 [34,] "N2_0"  "E1_0"  "0.7364073"
 [35,] "E3_40" "E1_0"  "0.8828226"
 [36,] "E2_60" "E1_0"  "0.8782793"
 [37,] "N2_40" "E1_0"  "0.8766404"
 [38,] "E3_0"  "E1_0"  "0.3807820"
 [39,] "E2_40" "E1_0"  "0.8824778"
 [40,] "E1_40" "E1_0"  "0.8894485"
 [41,] "N3_60" "E1_0"  "0.8776345"
 [42,] "N1_60" "E1_0"  "0.8750769"
 [43,] "N1_0"  "E1_0"  "0.7305456"
 [44,] "N2_60" "E1_0"  "0.9292418"
 [45,] "E1_60" "E1_0"  "0.8727563"
 [46,] "E2_0"  "E1_0"  "0.2519893"
 [47,] "N3_0"  "E1_0"  "0.6969224"
 [48,] "N3_40" "E1_0"  "0.8743336"
 [49,] "E3_40" "N2_0"  "0.8699339"
 [50,] "E2_60" "N2_0"  "0.8656108"
 [51,] "N2_40" "N2_0"  "0.8475395"
 [52,] "E3_0"  "N2_0"  "0.7228669"
 [53,] "E2_40" "N2_0"  "0.8813339"
 [54,] "E1_40" "N2_0"  "0.8937259"
 [55,] "N3_60" "N2_0"  "0.8202963"
 [56,] "N1_60" "N2_0"  "0.8233478"
 [57,] "N1_0"  "N2_0"  "0.3966192"
 [58,] "N2_60" "N2_0"  "0.9012943"
 [59,] "E1_60" "N2_0"  "0.8669644"
 [60,] "E2_0"  "N2_0"  "0.7011884"
 [61,] "N3_0"  "N2_0"  "0.3678699"
 [62,] "N3_40" "N2_0"  "0.8321494"
 [63,] "E2_60" "E3_40" "0.8119971"
 [64,] "N2_40" "E3_40" "0.6780476"
 [65,] "E3_0"  "E3_40" "0.8983199"
 [66,] "E2_40" "E3_40" "0.5703049"
 [67,] "E1_40" "E3_40" "0.6349296"
 [68,] "N3_60" "E3_40" "0.8123300"
 [69,] "N1_60" "E3_40" "0.8030611"
 [70,] "N1_0"  "E3_40" "0.8996593"
 [71,] "N2_60" "E3_40" "0.8937189"
 [72,] "E1_60" "E3_40" "0.8192863"
 [73,] "E2_0"  "E3_40" "0.8973622"
 [74,] "N3_0"  "E3_40" "0.8876926"
 [75,] "N3_40" "E3_40" "0.6460551"
 [76,] "N2_40" "E2_60" "0.7093784"
 [77,] "E3_0"  "E2_60" "0.8658700"
 [78,] "E2_40" "E2_60" "0.6815281"
 [79,] "E1_40" "E2_60" "0.7117991"
 [80,] "N3_60" "E2_60" "0.7339861"
 [81,] "N1_60" "E2_60" "0.6740935"
 [82,] "N1_0"  "E2_60" "0.8952240"
 [83,] "N2_60" "E2_60" "0.8939231"
 [84,] "E1_60" "E2_60" "0.4320081"
 [85,] "E2_0"  "E2_60" "0.8833395"
 [86,] "N3_0"  "E2_60" "0.8828011"
 [87,] "N3_40" "E2_60" "0.7844056"
 [88,] "E3_0"  "N2_40" "0.8948587"
 [89,] "E2_40" "N2_40" "0.6124867"
 [90,] "E1_40" "N2_40" "0.6870074"
 [91,] "N3_60" "N2_40" "0.7478707"
 [92,] "N1_60" "N2_40" "0.7275710"
 [93,] "N1_0"  "N2_40" "0.8818953"
 [94,] "N2_60" "N2_40" "0.8116071"
 [95,] "E1_60" "N2_40" "0.7130584"
 [96,] "E2_0"  "N2_40" "0.8912059"
 [97,] "N3_0"  "N2_40" "0.8701984"
 [98,] "N3_40" "N2_40" "0.4218834"
 [99,] "E2_40" "E3_0"  "0.8931199"
[100,] "E1_40" "E3_0"  "0.9110302"
[101,] "N3_60" "E3_0"  "0.8684990"
[102,] "N1_60" "E3_0"  "0.8703013"
[103,] "N1_0"  "E3_0"  "0.7617806"
[104,] "N2_60" "E3_0"  "0.9259060"
[105,] "E1_60" "E3_0"  "0.8892639"
[106,] "E2_0"  "E3_0"  "0.2695360"
[107,] "N3_0"  "E3_0"  "0.7160917"
[108,] "N3_40" "E3_0"  "0.8753463"
[109,] "E1_40" "E2_40" "0.4098974"
[110,] "N3_60" "E2_40" "0.8311517"
[111,] "N1_60" "E2_40" "0.8233478"
[112,] "N1_0"  "E2_40" "0.9088489"
[113,] "N2_60" "E2_40" "0.9077515"
[114,] "E1_60" "E2_40" "0.6238596"
[115,] "E2_0"  "E2_40" "0.8935428"
[116,] "N3_0"  "E2_40" "0.8998753"
[117,] "N3_40" "E2_40" "0.7234955"
[118,] "N3_60" "E1_40" "0.8565337"
[119,] "N1_60" "E1_40" "0.8482270"
[120,] "N1_0"  "E1_40" "0.9213790"
[121,] "N2_60" "E1_40" "0.9096294"
[122,] "E1_60" "E1_40" "0.6320712"
[123,] "E2_0"  "E1_40" "0.9084033"
[124,] "N3_0"  "E1_40" "0.9094583"
[125,] "N3_40" "E1_40" "0.7890900"
[126,] "N1_60" "N3_60" "0.5083268"
[127,] "N1_0"  "N3_60" "0.8604406"
[128,] "N2_60" "N3_60" "0.8232442"
[129,] "E1_60" "N3_60" "0.8172450"
[130,] "E2_0"  "N3_60" "0.8855882"
[131,] "N3_0"  "N3_60" "0.8418864"
[132,] "N3_40" "N3_60" "0.6826776"
[133,] "N1_0"  "N1_60" "0.8578415"
[134,] "N2_60" "N1_60" "0.8193986"
[135,] "E1_60" "N1_60" "0.7448318"
[136,] "E2_0"  "N1_60" "0.8825281"
[137,] "N3_0"  "N1_60" "0.8469659"
[138,] "N3_40" "N1_60" "0.6830769"
[139,] "N2_60" "N1_0"  "0.9135290"
[140,] "E1_60" "N1_0"  "0.8864238"
[141,] "E2_0"  "N1_0"  "0.7593849"
[142,] "N3_0"  "N1_0"  "0.3197672"
[143,] "N3_40" "N1_0"  "0.8658034"
[144,] "E1_60" "N2_60" "0.9040246"
[145,] "E2_0"  "N2_60" "0.9264236"
[146,] "N3_0"  "N2_60" "0.9049708"
[147,] "N3_40" "N2_60" "0.8132141"
[148,] "E2_0"  "E1_60" "0.8877282"
[149,] "N3_0"  "E1_60" "0.8835404"
[150,] "N3_40" "E1_60" "0.8103786"
[151,] "N3_0"  "E2_0"  "0.7166322"
[152,] "N3_40" "E2_0"  "0.8850448"
[153,] "N3_40" "N3_0"  "0.8515838"

$details$dist.ran
            [,1]      [,2]      [,3]      [,4]      [,5]      [,6]      [,7]      [,8]
  [1,] 0.3944414 0.3967375 0.4595855 0.3428413 0.4309179 0.5635209 0.4482229 0.4906408
  [2,] 0.5670628 0.4742605 0.2154029 0.3475532 0.2715499 0.3620236 0.2321427 0.2893820
  [3,] 0.4399896 0.2239938 0.2735763 0.2615203 0.4501052 0.3732330 0.2934308 0.1781888
  [4,] 0.2507047 0.3144539 0.2745363 0.3540800 0.4520658 0.3696462 0.4663560 0.3189707
  [5,] 0.2476175 0.3628261 0.2617985 0.5607249 0.5188039 0.6473093 0.3038088 0.5691512
  [6,] 0.1963048 0.2193347 0.5372695 0.2736106 0.4377736 0.3289450 0.4301240 0.1976517
  [7,] 0.4658956 0.3825755 0.2581221 0.3515349 0.4430228 0.6366218 0.2549734 0.2870380
  [8,] 0.5279886 0.4626790 0.4564246 0.4277235 0.3686973 0.4154364 0.5155900 0.5955531
  [9,] 0.3684369 0.3877080 0.6382032 0.3719985 0.4184793 0.5632596 0.6898980 0.3584802
 [10,] 0.2144310 0.2870887 0.2213943 0.3237706 0.2310989 0.3733396 0.2220494 0.4588477
 [11,] 0.2821610 0.2407872 0.2378615 0.2489596 0.4652859 0.4809427 0.2337419 0.3141759
 [12,] 0.2451045 0.1974087 0.2144494 0.4193713 0.2722374 0.2856184 0.2294588 0.3253537
 [13,] 0.3864654 0.3043881 0.2344777 0.3002250 0.2301620 0.4774555 0.2382367 0.4835410
 [14,] 0.4826803 0.4490124 0.3670416 0.5817751 0.5308386 0.5339374 0.4203484 0.3489663
 [15,] 0.2296932 0.4092715 0.5758939 0.3399601 0.4912174 0.4078869 0.2893146 0.3091893
 [16,] 0.2886070 0.4185945 0.2430817 0.2126679 0.4269976 0.3694932 0.2316029 0.3209686
 [17,] 0.3510187 0.3257732 0.2314770 0.3854459 0.4426181 0.3707468 0.4851935 0.2662383
 [18,] 0.6134610 0.4345225 0.4657737 0.3422406 0.4894993 0.6279560 0.4442495 0.4652724
 [19,] 0.4521071 0.3773042 0.4827466 0.3513472 0.4054471 0.5905751 0.4574934 0.4846915
 [20,] 0.4065437 0.4057250 0.4723424 0.3371165 0.3656132 0.5874932 0.5180713 0.4410532
 [21,] 0.3996169 0.3625947 0.4622573 0.5800368 0.6363437 0.5374049 0.4746623 0.5626417
 [22,] 0.4138598 0.3523321 0.4270688 0.3303900 0.3528475 0.5659038 0.5073529 0.4748765
 [23,] 0.5344691 0.2952222 0.4581093 0.3339757 0.4054032 0.4894468 0.4491785 0.4744078
 [24,] 0.5331949 0.3663815 0.5134185 0.4603362 0.5136219 0.5949172 0.4235584 0.5881359
 [25,] 0.3912754 0.4450430 0.5412602 0.3337680 0.3459646 0.4502297 0.6340819 0.4384194
 [26,] 0.3974325 0.3981563 0.4351005 0.3482129 0.4553269 0.5849972 0.4577535 0.5137364
 [27,] 0.3962048 0.3976985 0.4678300 0.3293145 0.4174135 0.4839247 0.4239445 0.4824153
 [28,] 0.4107990 0.3756964 0.4535260 0.4627062 0.4852199 0.6232490 0.4044222 0.4051251
 [29,] 0.3950198 0.4306911 0.4525207 0.3230264 0.4107845 0.4826406 0.4274105 0.5694339
 [30,] 0.5022970 0.5132786 0.4869346 0.6007666 0.6627779 0.4997496 0.3925254 0.4877773
 [31,] 0.3926741 0.4856027 0.4380826 0.3897250 0.4311020 0.5841210 0.4584102 0.4690179
 [32,] 0.4324749 0.4697594 0.4524793 0.3175221 0.3779404 0.5897973 0.4107264 0.5363824
 [33,] 0.4497734 0.4393311 0.4335629 0.4354528 0.3979791 0.6003270 0.5459353 0.4532370
 [34,] 0.4207360 0.4796003 0.2746562 0.2928775 0.4589297 0.4335488 0.2765215 0.2797632
 [35,] 0.5759056 0.4723827 0.2636049 0.3880220 0.4158553 0.4453351 0.4397935 0.3657055
 [36,] 0.5882391 0.4820839 0.2570388 0.5661996 0.4924740 0.6068245 0.3334005 0.5638177
 [37,] 0.5598541 0.4983884 0.5642449 0.3392302 0.4647029 0.4550660 0.4059152 0.2733018
 [38,] 0.4442913 0.3787425 0.2261693 0.3321528 0.3995137 0.6069585 0.2586981 0.2837220
 [39,] 0.3966636 0.4383352 0.4505337 0.4480427 0.3544697 0.4290880 0.5112533 0.6115222
 [40,] 0.6160450 0.4185801 0.6345327 0.3200433 0.4681271 0.5213625 0.6785402 0.3384680
 [41,] 0.5479159 0.4755990 0.2418908 0.3881267 0.2845353 0.4489708 0.2033541 0.4696381
