OUT	SH2	SH3	SH4	SP1	SP2	SP3
OTU1322	0	0	2	0	0	0
OTU1323	0	0	0	0	0	0
OTU1324	0	0	0	0	0	0
OTU1325	1	0	0	0	0	0
OTU1326	0	0	2	0	0	0
OTU1327	0	0	0	0	0	0
OTU1328	0	0	0	0	2	0
OTU1329	0	0	0	0	1	1
OTU133	0	0	0	0	0	19
OTU1330	0	0	0	0	0	0
OTU1331	0	0	5	1	0	0
OTU1332	0	0	0	0	0	0
OTU1333	1	1	0	0	0	0
OTU1334	0	0	0	0	0	0
OTU1335	0	0	0	0	0	0
OTU1336	0	0	0	0	0	0
OTU1337	0	0	0	2	0	1
OTU1338	0	0	0	0	0	0
OTU1339	0	0	0	0	0	0
OTU134	2	1	2	4	2	2
OTU1340	0	0	0	0	0	0
OTU1341	0	0	0	5	0	0
OTU1342	12	34	32	95	4	8
OTU1343	0	2	0	0	0	0
OTU1344	1	3	0	2	0	0
OTU1345	0	0	2	0	0	0
OTU1346	0	0	0	3	0	0
OTU1347	0	0	0	0	0	0
OTU1348	1	0	0	1	1	2
OTU1349	0	0	0	0	0	0
OTU135	0	0	0	0	0	59
OTU1350	0	0	0	1	1	1
OTU1351	0	0	0	0	0	0
OTU1352	2	0	0	0	0	0
OTU1353	0	1	0	0	0	1
OTU1354	0	0	0	0	0	1
OTU1355	0	0	0	0	0	0
OTU1356	1	0	2	0	1	0
OTU1357	0	0	1	0	1	0
OTU1358	0	0	3	0	2	0
OTU1359	0	0	0	0	0	0
OTU136	0	0	0	0	0	58
OTU1360	0	0	0	0	0	0
OTU1361	0	0	0	0	0	0
OTU1362	0	0	2	0	0	0
OTU1363	0	0	0	0	0	0
OTU1364	0	0	0	2	0	0
OTU1365	0	0	0	0	0	0
OTU1366	0	0	0	0	0	0
OTU1367	0	1	0	1	0	0
OTU1368	0	0	0	2	0	0
OTU1369	0	0	0	2	0	0
OTU137	0	1	1	0	0	49
OTU1370	0	0	0	0	0	0
OTU1371	0	2	0	0	0	0
OTU1372	0	0	2	4	0	1
OTU1373	0	0	0	0	0	0
OTU1374	0	0	0	0	0	0
OTU1375	0	0	0	0	0	0
OTU1376	0	0	1	1	0	0
OTU1377	0	2	0	0	0	0
OTU1378	0	0	0	0	0	0
OTU1379	1	2	3	1	2	4
OTU138	8	2	5	7	9	8
OTU1380	0	0	1	2	0	0
OTU1381	2	0	0	0	1	0
OTU1382	0	0	0	0	0	0
OTU1383	0	0	0	2	0	0
OTU1384	0	0	0	0	0	0
OTU1385	0	0	0	0	0	0
OTU1386	0	0	0	0	0	0
OTU1387	0	0	0	0	0	0
OTU1388	0	0	0	1	0	0
OTU1389	0	0	0	0	0	0
OTU139	27	7	28	14	9	15
OTU1390	0	0	0	0	0	0
OTU1391	0	0	1	1	0	2
OTU1392	0	0	0	0	0	0
OTU1393	0	0	0	0	0	0
OTU1394	0	0	0	0	0	0
OTU1395	0	0	0	0	1	0
OTU1396	0	0	0	0	0	0
OTU1397	0	0	0	0	0	2
OTU1398	1	0	1	0	0	0
OTU1399	0	0	0	0	0	0
OTU14	6	3	2	17	10	37
OTU140	15	9	15	9	8	13
OTU1400	0	0	0	2	0	0
OTU1401	0	0	0	0	0	0
OTU1402	2	1	1	1	0	0
OTU1403	2	1	1	1	0	1
OTU1404	0	1	3	0	1	1
OTU1405	1	1	0	2	0	1
OTU1406	1	0	1	0	0	1
OTU1407	0	0	2	1	0	0
OTU1408	0	0	0	0	0	0
OTU1409	0	2	0	0	0	0
OTU141	9	12	11	15	10	40
OTU1410	2	0	0	0	0	0
OTU1411	0	0	0	3	0	0
OTU1412	1	0	0	3	0	0
OTU1413	0	0	0	0	0	3
OTU1414	0	0	0	4	0	0
OTU1415	0	0	2	0	0	0
OTU1416	0	0	2	0	0	0
OTU1417	0	0	0	0	0	0
OTU1418	0	3	0	0	0	0
OTU1419	0	0	0	0	0	0
OTU142	2	0	0	0	0	1
OTU1420	0	0	2	0	0	0
OTU1421	0	0	0	2	0	0
OTU1422	0	0	0	0	0	0
OTU1423	0	0	2	0	0	0
OTU1424	0	1	0	0	0	1
OTU1425	0	0	0	0	2	0
OTU1426	0	0	0	1	1	0
OTU1427	0	1	0	2	1	1
OTU1428	0	0	0	0	0	0
OTU1429	0	0	1	1	1	2
OTU143	0	1	0	0	0	41
OTU1430	0	0	0	0	0	0
OTU1431	0	0	0	0	0	3
OTU1432	0	0	1	1	1	0
OTU1433	0	0	0	0	0	0
OTU1434	0	0	0	0	0	0
OTU1435	0	0	0	0	0	0
OTU1436	0	1	3	0	0	0
OTU1437	0	0	2	0	0	1
OTU1438	0	0	0	0	0	0
OTU1439	0	0	0	1	0	1
OTU144	0	0	0	0	0	53
OTU1440	0	0	0	0	0	0
OTU1441	0	0	0	0	0	0
OTU1442	0	0	0	0	0	1
OTU1443	0	0	2	0	0	0
OTU1444	2	0	0	0	0	0
OTU1445	0	0	0	0	0	0
OTU1446	0	0	2	0	0	0
OTU1447	0	0	0	0	0	0
OTU1448	0	0	0	1	0	0
OTU1449	0	0	0	0	0	2
OTU145	0	0	0	1	0	0
OTU1450	3	0	5	6	0	2
OTU1451	0	0	0	0	0	0
OTU1452	0	0	0	0	0	0
OTU1453	1	1	0	1	0	3
OTU1454	0	0	2	0	0	0
OTU1455	1	0	0	0	0	0
OTU1457	0	0	0	0	0	2
OTU1458	0	0	1	0	0	0
OTU1459	0	1	0	0	0	0
OTU146	0	0	0	6	0	0
OTU1460	0	0	0	0	0	0
OTU1461	0	0	0	2	0	0
OTU1462	0	0	0	0	0	0
OTU1463	0	0	0	0	0	2
OTU1464	0	0	0	0	0	0
OTU1465	1	0	0	2	0	0
OTU1466	0	0	0	0	0	0
OTU1467	0	0	0	2	0	0
OTU1468	0	0	0	0	0	0
OTU1469	0	2	0	0	0	0
OTU147	0	0	0	1	0	29
OTU1470	0	0	0	0	0	0
OTU1471	0	0	0	0	0	0
OTU1472	0	0	0	0	0	2
OTU1473	0	0	0	0	0	2
OTU1474	0	0	2	0	0	0
OTU1475	0	0	0	1	0	0
OTU1476	1	0	0	2	1	0
OTU1477	1	0	0	1	0	3
OTU1478	0	0	0	3	0	0
OTU1479	0	0	1	0	0	0
OTU148	2	1	3	4	0	1
OTU1480	0	0	0	0	0	0
OTU1481	0	0	0	0	0	0
OTU1482	0	0	0	0	0	0
OTU1483	0	0	0	0	2	0
OTU1484	2	0	0	0	0	0
OTU1485	0	0	0	0	0	0
OTU1486	2	0	1	0	1	0
OTU1487	0	2	0	0	0	0
OTU1488	2	0	0	0	0	0
OTU1489	0	0	0	0	0	1
OTU149	2	0	2	2	1	58
OTU1490	0	0	0	0	0	1
OTU1491	3	0	2	5	1	5
OTU1492	0	0	0	0	0	0
OTU1493	0	0	0	0	0	0
OTU1494	0	0	0	0	3	0
OTU1495	0	0	2	0	0	0
OTU1496	0	0	0	0	0	0
OTU1497	0	0	0	0	0	0
OTU1498	0	0	0	2	0	0
OTU1499	0	0	0	0	0	0
OTU15	108	51	142	144	54	171
OTU150	0	0	0	0	0	0
OTU1500	0	0	2	0	0	0
OTU1501	0	0	2	0	0	0
OTU1502	0	0	2	0	0	1
OTU1503	0	0	0	0	0	0
OTU1504	0	0	1	0	0	1
OTU1505	0	0	0	0	0	0
OTU1506	0	0	0	0	0	0
OTU1507	0	0	0	0	0	0
OTU1508	3	1	1	0	0	0
OTU1509	0	0	2	0	0	0
OTU151	0	0	0	0	1	0
OTU1510	0	1	0	0	0	2
OTU1511	0	0	0	1	0	0
OTU1512	0	0	2	0	0	0
OTU1513	0	0	0	0	0	0
OTU1514	0	0	0	0	0	0
OTU1515	0	0	0	0	0	0
OTU1516	0	0	0	0	0	0
OTU1517	0	0	0	0	0	0
OTU1518	0	0	0	0	0	0
OTU1519	1	0	0	3	0	1
OTU152	0	0	0	1	1	14
OTU1520	0	0	0	1	0	0
OTU1521	0	0	0	0	0	0
OTU1522	0	0	0	0	0	0
OTU1523	0	0	0	0	0	0
OTU1524	0	0	0	0	0	0
OTU1525	0	0	0	0	0	2
OTU1526	2	3	1	0	0	0
OTU1527	0	0	1	2	1	0
OTU1528	0	0	0	0	0	0
OTU1529	0	0	0	0	0	0
OTU153	0	0	1	0	2	0
OTU1530	0	0	0	0	0	0
OTU1531	3	0	1	1	0	2
OTU1532	2	0	0	0	0	0
OTU1533	0	0	2	0	0	0
OTU1534	0	0	0	2	0	0
OTU1535	0	0	0	0	0	0
OTU1536	0	0	0	0	0	0
OTU1537	0	0	0	0	0	0
OTU1538	0	0	0	0	0	0
OTU1539	2	0	0	1	0	0
OTU154	0	0	0	0	0	42
OTU1540	0	0	0	0	0	0
OTU1541	0	0	0	3	0	0
OTU1542	0	0	2	0	0	0
OTU1543	0	0	0	0	0	0
OTU1544	0	0	0	1	0	1
OTU1545	0	2	2	1	0	0
OTU1546	0	0	0	0	0	0
OTU1547	1	0	0	0	2	1
OTU1548	0	0	2	3	4	0
OTU1549	0	0	0	0	0	0
OTU155	1	0	3	13	1	41
OTU1550	0	0	0	1	0	1
OTU1551	0	0	0	0	2	0
OTU1552	0	0	0	0	0	0
OTU1553	0	0	0	2	0	0
OTU1554	0	0	1	0	0	1
OTU1555	0	0	2	0	0	0
OTU1556	0	0	0	2	0	0
OTU1557	2	0	0	1	0	0
OTU1558	0	0	0	0	0	0
OTU1559	0	0	0	0	0	0
OTU156	0	0	0	0	0	22
OTU1560	0	0	0	0	0	0
OTU1561	0	1	2	2	1	3
OTU1562	0	0	0	0	0	0
OTU1563	0	0	0	0	0	0
OTU1564	0	0	0	0	0	0
OTU1565	2	1	1	1	0	0
OTU1566	0	0	0	0	0	0
OTU1567	0	0	2	0	0	0
OTU1568	0	0	0	0	0	0
OTU1569	1	0	1	0	0	1
OTU157	1	0	0	0	0	0
OTU1570	0	1	1	2	0	0
OTU1571	0	0	0	2	0	0
OTU1572	1	0	5	1	2	0
OTU1573	1	0	0	1	0	0
OTU1574	0	0	2	0	0	0
OTU1575	0	0	0	0	2	0
OTU1576	1	0	0	1	1	0
OTU1577	0	0	0	0	0	0
OTU1578	0	0	0	0	0	0
OTU1579	0	0	2	0	0	0
OTU158	2	2	7	6	1	22
OTU1580	1	0	0	1	0	0
OTU1581	0	2	0	0	0	0
OTU1582	0	0	0	0	0	6
OTU1583	0	0	0	0	0	0
OTU1584	0	0	0	0	0	0
OTU1585	0	0	2	0	0	0
OTU1586	0	0	0	0	0	2
OTU1587	0	0	0	0	0	2
OTU1588	0	0	2	0	0	0
OTU1589	0	0	2	0	0	0
OTU159	0	0	0	0	1	19
OTU1590	0	2	0	0	0	0
OTU1591	2	0	0	0	0	0
OTU1592	2	0	0	0	0	0
OTU1593	3	0	0	1	0	1
OTU1594	0	0	2	1	0	0
OTU1595	1	0	0	0	0	0
OTU1596	0	0	0	3	0	0
OTU1597	1	0	1	2	0	0
OTU1598	0	0	0	4	0	0
OTU1599	0	0	0	2	0	0
OTU16	2	2	11	9	5	16
OTU160	29	19	36	28	11	18
OTU1600	0	0	0	0	1	0
OTU1601	0	0	2	0	0	0
OTU1602	0	0	0	0	0	0
OTU1603	0	0	0	0	2	0
OTU1604	0	1	0	0	0	0
OTU1605	0	0	0	0	0	0
OTU1606	2	0	0	0	0	0
OTU1607	0	0	0	0	0	0
OTU1609	0	0	0	0	2	0
OTU161	0	0	0	3	0	59
OTU1610	0	0	0	0	0	0
OTU1611	0	0	0	0	0	0
OTU1612	0	0	2	0	0	0
OTU1613	2	0	0	2	2	0
OTU1614	0	1	1	0	0	2
OTU1615	0	1	0	1	0	0
OTU1616	0	0	0	0	0	0
OTU1617	0	0	0	0	0	0
OTU1618	1	0	1	1	2	0
OTU1619	0	0	0	0	0	0
OTU162	0	0	1	0	0	46
OTU1620	0	0	5	1	0	0
OTU1621	0	0	0	0	0	0
OTU1622	1	1	2	1	0	2
OTU1623	0	0	0	0	0	0
OTU1624	0	0	0	0	0	0
OTU1625	2	0	0	0	0	0
OTU1626	2	0	0	0	0	0
OTU1627	0	0	0	2	0	0
OTU1628	2	1	0	0	0	0
OTU1629	3	0	0	1	0	0
OTU163	2	3	2	10	1	59
OTU1630	0	0	0	0	0	0
OTU1631	0	0	0	2	0	0
OTU1632	0	0	0	0	0	0
OTU1633	0	0	0	0	0	0
OTU1634	0	0	0	0	0	0
OTU1635	0	0	2	0	0	0
OTU1636	0	0	0	0	0	0
OTU1637	0	0	0	0	0	0
OTU1638	0	0	0	0	0	0
OTU1639	0	0	0	2	0	0
OTU164	7	0	0	23	0	28
OTU1640	1	2	0	2	2	1
OTU1641	1	0	0	0	0	1
OTU1642	0	1	0	2	0	0
OTU1643	0	0	0	0	0	0
OTU1644	0	0	0	0	0	0
OTU1645	0	2	0	0	0	0
OTU1646	0	0	0	3	0	0
OTU1647	0	0	0	0	2	0
OTU1648	0	0	0	2	0	0
OTU1649	1	3	1	2	0	2
OTU165	0	0	0	0	0	51
OTU1650	0	0	0	0	0	0
OTU1651	0	0	0	0	0	0
OTU1652	0	0	0	2	0	0
OTU1653	0	0	1	3	0	2
OTU1654	1	0	0	0	0	0
OTU1655	0	0	0	0	0	0
OTU1656	0	0	1	0	0	0
OTU1657	0	1	1	2	3	1
OTU1658	0	0	0	0	0	0
OTU166	1	0	0	0	0	46
OTU1660	0	0	0	2	0	0
OTU1661	0	0	0	2	0	0
OTU1662	0	0	2	0	0	2
OTU1663	0	0	2	0	0	0
OTU1664	0	0	0	0	0	0
OTU1665	0	0	0	0	0	2
OTU1666	0	0	1	0	1	0
OTU1667	0	0	0	0	0	0
OTU1668	0	0	0	0	0	1
OTU1669	1	1	0	0	0	1
OTU167	0	0	0	1	0	0
OTU1670	0	0	0	12	0	0
OTU1671	0	0	0	0	0	0
OTU1672	0	0	0	0	2	0
OTU1674	0	0	1	2	0	1
OTU1675	0	0	0	0	0	2
OTU1676	0	0	0	0	0	2
OTU1677	0	0	0	0	0	0
OTU1678	1	0	1	0	0	0
OTU1679	0	2	0	0	0	0
OTU168	0	0	1	7	0	50
OTU1680	0	0	0	6	0	0
OTU1681	0	0	0	2	0	0
OTU1682	0	0	0	2	0	0
OTU1683	0	0	0	0	0	0
OTU1684	0	2	0	0	0	0
OTU1685	0	0	0	0	0	0
OTU1686	0	0	0	0	0	0
OTU1687	0	0	0	0	0	0
OTU1688	2	0	0	0	0	0
OTU1689	0	0	0	0	0	1
OTU169	0	0	2	0	0	36
OTU1690	0	0	0	0	0	0
OTU1691	0	0	0	0	2	0
OTU1692	0	1	0	0	1	2
OTU1693	2	0	0	0	0	0
OTU1694	0	0	0	0	2	0
OTU1695	0	0	0	0	0	2
OTU1696	0	0	0	0	0	0
OTU1697	0	0	0	0	0	0
OTU1698	0	0	1	0	0	0
OTU1699	0	0	0	3	0	0
OTU17	2	1	4	5	1	2
OTU170	1	2	1	0	1	1
OTU1700	0	0	5	1	1	1
OTU1701	1	3	3	0	1	0
OTU1702	0	0	0	0	2	0
